Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,32,154016352,82915426,1.8575114208750991
2,KH,32,154016352,82881567,1.8582702660735682
3,KH,32,154016352,82714629,1.8620206984216305
4,KH,32,154016352,82634780,1.863819936638568
5,KH,32,154016352,82461205,1.8677431583592143
6,KH,32,154016352,82291786,1.8715883882837132
7,KH,32,154016352,82400361,1.8691222794797822
8,KH,32,154016352,82378610,1.8696158004214851
9,KH,32,154016352,82409830,1.86890751700019
10,KH,32,154016352,82338859,1.8705184144268892
11,KH,32,154016352,82324910,1.8708353396082675
12,KH,32,154016352,82372187,1.8697615959982614
13,KH,32,154016352,82363720,1.8699537910654151
14,KH,32,154016352,82387689,1.869409773604993
15,KH,32,154016352,82397717,1.8691822545521328
16,KH,32,154016352,82576244,1.8651411525363693
17,KH,32,154016352,82432361,1.8683966912644985
18,KH,32,154016352,82471985,1.8674990225076131
19,KH,32,154016352,82513384,1.8665620407270034
20,KH,32,154016352,82490472,1.867080503291321
21,KH,32,154016352,82511511,1.8666044281868455
22,KH,32,154016352,82503223,1.866791942710263
23,KH,32,154016352,82596910,1.8646744887195568
24,KH,32,154016352,82527553,1.8662415773747698
25,KH,32,154016352,82497643,1.866918191249419
