round,dice_wt,time_sec,loss
0,0.1107,21.66,0.8893
1,0.3479,17.17,0.6521
2,0.4334,17.24,0.5666
3,0.5378,17.32,0.4622
4,0.5539,17.21,0.4461
5,0.5033,17.15,0.4967
6,0.2888,17.14,0.7112
7,0.3896,17.19,0.6104
8,0.3819,17.11,0.6181
9,0.3561,17.21,0.6439
10,0.3287,16.98,0.6713
11,0.6442,17.24,0.3558
12,0.6377,17.28,0.3623
13,0.8024,17.25,0.1976
14,0.7522,17.04,0.2478
15,0.912,17.15,0.088
16,0.9796,17.32,0.0204
17,0.9835,17.32,0.0165
18,0.983,17.29,0.017
19,0.9847,17.12,0.0153
20,0.9849,17.25,0.0151
21,0.9851,17.44,0.0149
22,0.9846,17.4,0.0154
23,0.9841,17.26,0.0159
24,0.9851,17.31,0.0149
25,0.984,17.29,0.016
