batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,942186,157749,157749,942186,0.3349
2,0,1107922,162397,162397,1107922,0.2932
3,0,594250,169918,166460,597708,0.557
4,0,1368598,200621,200621,1368598,0.2932
5,0,0,12470,0,12470,0.0
6,0,403504,42636,42636,403504,0.2113
7,0,496660,46230,46230,496660,0.1862
8,0,485863,51782,51782,485863,0.2132
9,0,505028,59342,59342,505028,0.235
10,0,960362,77740,77740,960362,0.1619
11,0,794783,78549,78549,794783,0.1977
12,0,617903,78584,78523,617964,0.2541
13,0,540569,79080,79080,540569,0.2926
14,0,710013,83463,83463,710013,0.2351
15,0,554007,84845,84844,554008,0.3063
16,0,770331,85112,85112,770331,0.221
17,0,415378,95788,86756,424410,0.4088
18,0,496099,98011,98011,496099,0.3951
19,0,1192477,98512,98512,1192477,0.1652
20,0,541884,98996,98993,541887,0.3654
21,0,650160,105016,105016,650160,0.323
22,0,897872,107675,107675,897872,0.2398
23,0,503065,107935,107935,503065,0.4291
24,0,745699,111614,111614,745699,0.2994
25,0,637601,111967,111967,637601,0.3512
26,0,1061341,120374,120374,1061341,0.2268
27,0,671256,138460,138460,671256,0.4125
28,0,615719,147383,146780,616322,0.4763
29,0,991237,147861,147861,991237,0.2983
30,0,627203,150203,147125,630281,0.4669
31,0,1059202,157326,157326,1059202,0.2971
32,0,972762,158379,158379,972762,0.3256
33,0,1232614,173764,173764,1232614,0.2819
34,0,1651607,224832,224832,1651607,0.2723
35,0,129129,20466,20466,129129,0.317
36,0,602647,34197,34197,602647,0.1135
37,0,711759,44986,44986,711759,0.1264
38,0,413839,46623,46623,413839,0.2253
39,0,488558,51390,51390,488558,0.2104
40,0,837045,58948,58948,837045,0.1408
41,0,802616,71632,71632,802616,0.1785
42,0,746091,72110,72110,746091,0.1933
43,0,536471,74298,74298,536471,0.277
44,0,759309,79454,79454,759309,0.2093
45,0,747648,83563,83563,747648,0.2235
46,0,741962,87678,87678,741962,0.2363
47,0,596392,89503,89503,596392,0.3001
48,0,726227,91161,91161,726227,0.2511
49,0,740853,98447,98447,740853,0.2658
50,0,1122181,104055,104055,1122181,0.1855
51,0,1075685,113630,113630,1075685,0.2113
52,0,335816,118171,118168,335819,0.7038
53,0,513088,125934,125292,513730,0.4878
54,0,1051589,130763,130763,1051589,0.2487
55,0,747276,140799,140799,747276,0.3768
56,0,1154818,146440,146440,1154818,0.2536
57,0,1105163,153071,153071,1105163,0.277
58,0,659167,157089,157089,659167,0.4766
59,0,617449,157414,156260,618603,0.5052
60,0,573423,161243,161213,573453,0.5623
61,0,1200355,168343,168343,1200355,0.2805
62,0,1067720,173462,173462,1067720,0.3249
63,0,1025051,186129,186129,1025051,0.3632
64,0,1056664,192199,192199,1056664,0.3638
65,0,966259,216245,216245,966259,0.4476
66,0,1311848,220576,220575,1311849,0.3363
67,0,1187674,237250,237250,1187674,0.3995
