Round,EncodingMode,NClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SKH,32,154016352,45977999,3.34978364588025
-1,SKH,32,154016352,45643785,3.3743115715540895
-1,SKH,32,154016352,45617570,3.376250628295687
-1,SKH,32,154016352,45626601,3.375582405403377
-1,SKH,32,154016352,45562120,3.3803595862729763
-1,SKH,32,154016352,45494738,3.3853662752395537
-1,SKH,32,154016352,45584326,3.378712915333842
-1,SKH,32,154016352,45444019,3.3891446045372433
-1,SKH,32,154016352,45444877,3.3890805580246948
-1,SKH,32,154016352,45490376,3.385690858297668
-1,SKH,32,154016352,45356611,3.395675867723248
-1,SKH,32,154016352,45575753,3.3793484250605
-1,SKH,32,154016352,45349959,3.396173940461236
-1,SKH,32,154016352,45406112,3.391973960857483
-1,SKH,32,154016352,45405155,3.392045447554875
-1,SKH,32,154016352,45435921,3.3897486173009135
-1,SKH,32,154016352,45485911,3.3860232045669933
-1,SKH,32,154016352,45458623,3.3880558123136493
-1,SKH,32,154016352,45423222,3.3906962840892834
-1,SKH,32,154016352,45479967,3.3864657231945436
-1,SKH,32,154016352,45362138,3.395262133893433
-1,SKH,32,154016352,45425957,3.390492177933876
-1,SKH,32,154016352,45444579,3.3891027760896257
-1,SKH,32,154016352,45350261,3.3961513460676844
-1,SKH,32,154016352,45377067,3.394145078019273
