batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,645106,157749,157749,645106,0.4891
2,0,768709,162397,162397,768709,0.4225
3,0,332237,169918,158718,343437,0.9243
4,0,1033648,200621,200621,1033648,0.3882
5,0,450,12470,450,12470,0.0722
6,0,163239,42636,42636,163239,0.5224
7,0,239433,46230,46230,239433,0.3862
8,0,433384,51782,51782,433384,0.239
9,0,319188,59342,59339,319191,0.3718
10,0,479477,77740,77739,479478,0.3243
11,0,385020,78549,78549,385020,0.408
12,0,376885,78584,78523,376946,0.4166
13,0,290305,79080,79080,290305,0.5448
14,0,422409,83463,83463,422409,0.3952
15,0,250840,84845,84693,250992,0.6749
16,0,511096,85112,85112,511096,0.3331
17,0,211460,95788,78450,228798,0.6858
18,0,206383,98011,92816,211578,0.8774
19,0,774972,98512,98512,774972,0.2542
20,0,265833,98996,95878,268951,0.713
21,0,312048,105016,105005,312059,0.673
22,0,572987,107675,107675,572987,0.3758
23,0,225356,107935,101199,232092,0.8721
24,0,475788,111614,111614,475788,0.4692
25,0,350534,111967,111967,350534,0.6388
26,0,744555,120374,120374,744555,0.3233
27,0,365846,138460,138415,365891,0.7566
28,0,341545,147383,145093,343835,0.844
29,0,635699,147861,147631,635929,0.4643
30,0,374779,150203,128479,396503,0.6481
31,0,679919,157326,157326,679919,0.4628
32,0,673976,158379,158379,673976,0.47
33,0,836003,173764,173764,836003,0.4157
34,0,1140832,224832,224720,1140944,0.3939
35,0,32855,20466,19326,33995,1.0
36,0,379715,34197,34197,379715,0.1801
37,0,462557,44986,44986,462557,0.1945
38,0,186982,46623,46623,186982,0.4987
39,0,241323,51390,51303,241410,0.425
40,0,562406,58948,58948,562406,0.2096
41,0,534921,71632,71632,534921,0.2678
42,0,496335,72110,72110,496335,0.2906
43,0,269945,74298,74130,270113,0.5489
44,0,570279,79454,79454,570279,0.2786
45,0,521337,83563,83540,521360,0.3205
46,0,461522,87678,86798,462402,0.3754
47,0,319744,89503,89496,319751,0.5598
48,0,440859,91161,91161,440859,0.4136
49,0,459954,98447,98447,459954,0.4281
50,0,501468,104055,103869,501654,0.4141
51,0,781934,113630,113630,781934,0.2906
52,0,172842,118171,112785,178228,1.0
53,0,191148,125934,108259,208823,1.0
54,0,715519,130763,130763,715519,0.3655
55,0,424717,140799,140548,424968,0.6615
56,0,791581,146440,146440,791581,0.37
57,0,753331,153071,153071,753331,0.4064
58,0,425877,157089,156121,426845,0.7315
59,0,359680,157414,151510,365584,0.8289
60,0,278862,161243,151758,288347,1.0
61,0,820808,168343,168343,820808,0.4102
62,0,774022,173462,173462,774022,0.4482
63,0,744299,186129,186129,744299,0.5001
64,0,790890,192199,192199,790890,0.486
65,0,614511,216245,216224,614532,0.7037
66,0,947082,220576,220567,947091,0.4658
67,0,815130,237250,237250,815130,0.5821
