Round,EncodingMode,NClusters,BaselineBits,CompressedBits,CompressionRatio
1,SKH,32,154016352,45931020,3.353209913565022
2,SKH,32,154016352,45560530,3.380477573927884
3,SKH,32,154016352,45455515,3.3882874136947883
4,SKH,32,154016352,45332778,3.3974611378608737
5,SKH,32,154016352,45320271,3.3983987202533363
6,SKH,32,154016352,45286796,3.4009107338740883
7,SKH,32,154016352,45343521,3.3966561856661888
8,SKH,32,154016352,45289316,3.4007214587677663
9,SKH,32,154016352,45251200,3.403585954596694
10,SKH,32,154016352,45233173,3.4049424674557094
11,SKH,32,154016352,45151022,3.4111376160834967
12,SKH,32,154016352,45220377,3.4059059288190934
13,SKH,32,154016352,45233062,3.404950805284554
14,SKH,32,154016352,45141511,3.4118563709679983
15,SKH,32,154016352,45274029,3.4018697362170975
16,SKH,32,154016352,45262916,3.4027049807089913
17,SKH,32,154016352,45290555,3.400628439378578
18,SKH,32,154016352,45191703,3.4080669847102465
19,SKH,32,154016352,45165819,3.4100200953650552
20,SKH,32,154016352,45172962,3.409480871202834
21,SKH,32,154016352,45122324,3.413307110382002
22,SKH,32,154016352,45084041,3.4162055472354145
23,SKH,32,154016352,45190108,3.408187231881099
24,SKH,32,154016352,45144099,3.4116607472739995
25,SKH,32,154016352,44982231,3.4239375576705133
