round,dice_wt,time_sec,loss
0,0.1107,21.42,0.8893
1,0.3004,18.2,0.6996
2,0.3728,18.34,0.6272
3,0.4211,18.5,0.5789
4,0.3915,18.08,0.6085
5,0.3993,18.38,0.6007
6,0.3766,18.13,0.6234
7,0.9091,17.98,0.0909
8,0.7468,18.02,0.2532
9,0.6307,18.27,0.3693
10,0.7221,18.56,0.2779
11,0.6708,18.25,0.3292
12,0.5061,18.21,0.4939
13,0.4661,18.18,0.5339
14,0.5865,18.07,0.4135
15,0.7116,18.5,0.2884
16,0.7005,18.16,0.2995
17,0.8559,18.08,0.1441
18,0.7658,17.84,0.2342
19,0.8065,18.11,0.1935
20,0.8987,17.85,0.1013
21,0.9243,17.75,0.0757
22,0.9555,18.0,0.0445
23,0.9783,18.0,0.0217
24,0.9766,17.8,0.0234
25,0.9768,17.9,0.0232
