batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,154808,157749,145737,166820,1.0
2,0,182371,162397,158748,186020,1.0
3,0,130061,169918,115050,184929,1.0
4,0,220029,200621,196319,224331,1.0
5,0,14642,12470,11915,15197,1.0
6,0,43342,42636,40010,45968,1.0
7,0,48084,46230,44525,49789,1.0
8,0,54761,51782,49507,57036,1.0
9,0,80127,59342,58731,80738,1.0
10,0,115480,77740,76727,116493,1.0
11,0,85388,78549,76968,86969,1.0
12,0,78060,78584,74580,82064,1.0
13,0,76522,79080,68962,86640,1.0
14,0,97515,83463,82927,98051,1.0
15,0,93222,84845,83429,94638,1.0
16,0,92349,85112,83906,93555,1.0
17,0,87410,95788,77915,105283,1.0
18,0,102431,98011,92677,107765,1.0
19,0,269516,98512,98476,269552,0.7307
20,0,104847,98996,96099,107744,1.0
21,0,114532,105016,104593,114955,1.0
22,0,119732,107675,106842,120565,1.0
23,0,120076,107935,106270,121741,1.0
24,0,123281,111614,110810,124085,1.0
25,0,127241,111967,111644,127564,1.0
26,0,128853,120374,116791,132436,1.0
27,0,161853,138460,134862,165451,1.0
28,0,147753,147383,131683,163453,1.0
29,0,292680,147861,145212,295329,0.9834
30,0,151263,150203,131337,170129,1.0
31,0,164993,157326,148959,173360,1.0
32,0,167638,158379,154837,171180,1.0
33,0,236485,173764,173392,236857,1.0
34,0,258167,224832,221507,261492,1.0
35,0,26010,20466,19499,26977,1.0
36,0,36657,34197,33689,37165,1.0
37,0,46030,44986,41573,49443,1.0
38,0,50553,46623,46355,50821,1.0
39,0,52350,51390,49061,54679,1.0
40,0,62916,58948,58511,63353,1.0
41,0,74558,71632,70852,75338,1.0
42,0,77145,72110,71532,77723,1.0
43,0,82208,74298,73048,83458,1.0
44,0,81504,79454,77011,83947,1.0
45,0,84173,83563,78033,89703,1.0
46,0,95449,87678,86209,96918,1.0
47,0,100238,89503,89045,100696,1.0
48,0,94460,91161,90559,95062,1.0
49,0,103898,98447,96571,105774,1.0
50,0,290363,104055,100572,293846,0.6845
51,0,136226,113630,113226,136630,1.0
52,0,113052,118171,109830,121393,1.0
53,0,143160,125934,121397,147697,1.0
54,0,138406,130763,127930,141239,1.0
55,0,152204,140799,138809,154194,1.0
56,0,147570,146440,142334,151676,1.0
57,0,172281,153071,152050,173302,1.0
58,0,170973,157089,155686,172376,1.0
59,0,168155,157414,152879,172690,1.0
60,0,169882,161243,157993,173132,1.0
61,0,174342,168343,165501,177184,1.0
62,0,177229,173462,167679,183012,1.0
63,0,197872,186129,182411,201590,1.0
64,0,215344,192199,191380,216163,1.0
65,0,217555,216245,208047,225753,1.0
66,0,267766,220576,219890,268452,1.0
67,0,245796,237250,229594,253452,1.0
