round,dice_wt,time_sec,loss
0,0.1107,20.93,0.8893
1,0.349,17.4,0.651
2,0.4042,17.49,0.5958
3,0.4311,17.47,0.5689
4,0.9144,17.45,0.0856
5,0.9788,17.13,0.0212
6,0.9774,17.09,0.0226
7,0.9887,17.21,0.0113
8,0.9802,17.36,0.0198
9,0.9836,17.04,0.0164
10,0.982,17.19,0.018
11,0.991,17.06,0.009
12,0.9793,17.23,0.0207
13,0.9748,17.21,0.0252
14,0.9739,17.13,0.0261
15,0.9765,17.12,0.0235
16,0.9759,17.13,0.0241
17,0.9773,17.42,0.0227
18,0.9696,17.24,0.0304
19,0.9764,17.16,0.0236
20,0.976,17.08,0.024
21,0.9796,17.2,0.0204
22,0.9751,17.29,0.0249
23,0.9766,17.21,0.0234
24,0.9754,17.31,0.0246
25,0.9777,17.29,0.0223
