batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,160485,157749,144903,173331,1.0
2,0,176433,162397,157454,181376,1.0
3,0,155306,169918,135752,189472,1.0
4,0,211760,200621,194911,217470,1.0
5,0,13043,12470,11577,13936,1.0
6,0,39139,42636,37573,44202,1.0
7,0,46856,46230,44143,48943,1.0
8,0,56753,51782,50680,57855,1.0
9,0,80397,59342,58783,80956,1.0
10,0,142092,77740,76328,143504,1.0
11,0,85123,78549,76912,86760,1.0
12,0,75194,78584,72886,80892,1.0
13,0,79286,79080,71464,86902,1.0
14,0,95423,83463,82800,96086,1.0
15,0,90698,84845,83025,92518,1.0
16,0,90435,85112,83431,92116,1.0
17,0,93421,95788,77906,111303,1.0
18,0,100252,98011,92373,105890,1.0
19,0,271432,98512,98467,271477,0.7254
20,0,104538,98996,96255,107279,1.0
21,0,115440,105016,104600,115856,1.0
22,0,118360,107675,106525,119510,1.0
23,0,119599,107935,106307,121227,1.0
24,0,123509,111614,110945,124178,1.0
25,0,127520,111967,111532,127955,1.0
26,0,125820,120374,116181,130013,1.0
27,0,160640,138460,133788,165312,1.0
28,0,150855,147383,133705,164533,1.0
29,0,470179,147861,145997,472043,0.6186
30,0,148707,150203,131145,167765,1.0
31,0,162628,157326,148359,171595,1.0
32,0,166658,158379,155105,169932,1.0
33,0,243124,173764,173197,243691,1.0
34,0,273222,224832,221098,276956,1.0
35,0,24251,20466,18811,25906,1.0
36,0,35229,34197,33278,36148,1.0
37,0,44436,44986,41276,48146,1.0
38,0,49427,46623,46241,49809,1.0
39,0,52281,51390,48986,54685,1.0
40,0,62077,58948,58470,62555,1.0
41,0,73987,71632,70598,75021,1.0
42,0,77230,72110,71585,77755,1.0
43,0,81761,74298,73118,82941,1.0
44,0,80077,79454,76650,82881,1.0
45,0,79768,83563,76321,87010,1.0
46,0,92810,87678,85444,95044,1.0
47,0,100082,89503,89175,100410,1.0
48,0,93895,91161,90321,94735,1.0
49,0,102488,98447,96159,104776,1.0
50,0,295033,104055,100679,298409,0.6748
51,0,126832,113630,112958,127504,1.0
52,0,112266,118171,109792,120645,1.0
53,0,139557,125934,120454,145037,1.0
54,0,135081,130763,127271,138573,1.0
55,0,152241,140799,138940,154100,1.0
56,0,145238,146440,141246,150432,1.0
57,0,175196,153071,151974,176293,1.0
58,0,171936,157089,155667,173358,1.0
59,0,169721,157414,153756,173379,1.0
60,0,170701,161243,158625,173319,1.0
61,0,172762,168343,165084,176021,1.0
62,0,177851,173462,168462,182851,1.0
63,0,199840,186129,183300,202669,1.0
64,0,213342,192199,191166,214375,1.0
65,0,217570,216245,207976,225839,1.0
66,0,268761,220576,220100,269237,1.0
67,0,248835,237250,231181,254904,1.0
