round,dice_wt,time_sec,loss
0,0.1107,21.29,0.8893
1,0.3512,17.53,0.6488
2,0.3296,18.45,0.6704
3,0.5004,17.44,0.4996
4,0.9238,17.24,0.0762
5,0.9776,17.3,0.0224
6,0.9742,17.09,0.0258
7,0.9785,17.2,0.0215
8,0.9783,17.13,0.0217
9,0.9854,17.54,0.0146
10,0.9813,17.3,0.0187
11,0.9807,17.29,0.0193
12,0.9843,17.32,0.0157
13,0.9765,17.32,0.0235
14,0.9791,17.22,0.0209
15,0.978,17.09,0.022
16,0.9812,17.24,0.0188
17,0.9738,17.08,0.0262
18,0.9801,17.01,0.0199
19,0.9854,17.12,0.0146
20,0.9721,16.96,0.0279
21,0.9826,17.32,0.0174
22,0.9733,17.21,0.0267
23,0.9724,17.15,0.0276
24,0.9736,17.1,0.0264
25,0.9762,17.09,0.0238
