Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,3,154016352,40859368,3.769425683953696
2,KH,3,154016352,40855899,3.7697457189150643
3,KH,3,154016352,40888891,3.766704028060503
4,KH,3,154016352,40810739,3.7739171775272307
5,KH,3,154016352,40888933,3.7667001954958126
6,KH,3,154016352,40900168,3.765665508551457
7,KH,3,154016352,40908151,3.7649306223291297
8,KH,3,154016352,40910221,3.764740140348834
9,KH,3,154016352,40901926,3.7655036187909716
10,KH,3,154016352,40902665,3.765435586634636
11,KH,3,154016352,40903042,3.7654009177855605
12,KH,3,154016352,40897835,3.765880281021843
13,KH,3,154016352,40898741,3.7657968215111453
14,KH,3,154016352,40899294,3.7657459778162394
15,KH,3,154016352,40899870,3.7656929442073808
16,KH,3,154016352,40899860,3.7656938465335266
17,KH,3,154016352,40899911,3.7656891693533194
18,KH,3,154016352,40899961,3.7656845658294626
19,KH,3,154016352,40900055,3.765675892810551
20,KH,3,154016352,40900180,3.7656643657001383
21,KH,3,154016352,40900238,3.7656589888756233
22,KH,3,154016352,40900512,3.765633762045014
23,KH,3,154016352,40900770,3.765610027071634
24,KH,3,154016352,40900775,3.7656095483283267
25,KH,3,154016352,40900759,3.7656110950837456
