[2026-01-22 07:53:00,746] [INFO] [SERVER INIT] EXPERIMENT_DIR=Revision/Run_UNET_NonIID_KH3_20260122, LOG=Revision/Run_UNET_NonIID_KH3_20260122/Server/ServerReport20260122.log
[2026-01-22 07:53:00,749] [INFO] [ENV] SERVER_ADDRESS=127.0.0.1, SERVER_PORT=8089, DATA_PATH=/home/jovyan/FeTS2022/MICCAI_FeTS2022_TrainingData, ENCODING_MODE=KH, N_CLUSTERS=3
[2026-01-22 07:53:00,876] [INFO] [DATA] Server test set loaded with 67 samples.
[2026-01-22 07:53:01,173] [INFO] [MODEL INIT] UNet with 148 layers initialized on cuda
[2026-01-22 07:53:01,214] [INFO] [STRATEGY INIT] mode=KH, UsedClusters=3 (EnvNClusters=3), experiment_dir=Revision/Run_UNET_NonIID_KH3_20260122
[2026-01-22 07:53:01,214] [INFO] [SERVER START] Address=127.0.0.1:8089, Rounds=25, Mode=KH, NClusters=3
[2026-01-22 07:53:01,231] [INFO] [Server] Evaluating at round 0
[2026-01-22 07:53:01,231] [INFO] [SERVER][Round 0] Starting evaluation (mode=KH)...
[2026-01-22 07:53:23,795] [INFO] [Round 0] WT Dice: 0.1107 | Time: 22.56s
[2026-01-22 08:14:13,361] [INFO] [SERVER DEBUG] aggregate_fit called at round 1
[2026-01-22 08:14:13,361] [INFO] [DEBUG] aggregate_fit received 4 results at round 1
[2026-01-22 08:14:13,361] [INFO] [DEBUG] Decoding client response from dce58187632f497a89739fc0bfa22eb9...
[2026-01-22 08:14:13,606] [INFO] [DEBUG] Decoding client response from 5e8708d6558343119b3ba90e47b5290c...
[2026-01-22 08:14:13,765] [INFO] [DEBUG] Decoding client response from 5234c2a458114c08be2cbdfbc934432a...
[2026-01-22 08:14:14,065] [INFO] [DEBUG] Decoding client response from 652beb03e4ad4f06a460bc155961b550...
[2026-01-22 08:14:14,159] [INFO] [ENCODE] Starting encode_weights in aggregate_fit...
[2026-01-22 08:14:15,712] [INFO] [ENCODE] Finished encode_weights.
[2026-01-22 08:14:15,909] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-22 08:14:15,927] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-22 08:14:16,039] [INFO] [Server] Evaluating at round 1
[2026-01-22 08:14:16,040] [INFO] [SERVER][Round 1] Starting evaluation (mode=KH)...
[2026-01-22 08:14:33,610] [INFO] [Round 1] WT Dice: 0.8509 | Time: 17.57s
[2026-01-22 08:37:15,723] [INFO] [SERVER DEBUG] aggregate_fit called at round 2
[2026-01-22 08:37:15,724] [INFO] [DEBUG] aggregate_fit received 4 results at round 2
[2026-01-22 08:37:15,724] [INFO] [DEBUG] Decoding client response from dce58187632f497a89739fc0bfa22eb9...
[2026-01-22 08:37:15,858] [INFO] [DEBUG] Decoding client response from 5e8708d6558343119b3ba90e47b5290c...
[2026-01-22 08:37:15,948] [INFO] [DEBUG] Decoding client response from 5234c2a458114c08be2cbdfbc934432a...
[2026-01-22 08:37:16,049] [INFO] [DEBUG] Decoding client response from 652beb03e4ad4f06a460bc155961b550...
[2026-01-22 08:37:16,170] [INFO] [ENCODE] Starting encode_weights in aggregate_fit...
[2026-01-22 08:37:17,460] [INFO] [ENCODE] Finished encode_weights.
[2026-01-22 08:37:17,648] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-22 08:37:17,665] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-22 08:37:17,802] [INFO] [Server] Evaluating at round 2
[2026-01-22 08:37:17,802] [INFO] [SERVER][Round 2] Starting evaluation (mode=KH)...
[2026-01-22 08:37:35,344] [INFO] [Round 2] WT Dice: 0.6351 | Time: 17.54s
[2026-01-22 09:00:22,242] [INFO] [SERVER DEBUG] aggregate_fit called at round 3
[2026-01-22 09:00:22,243] [INFO] [DEBUG] aggregate_fit received 4 results at round 3
[2026-01-22 09:00:22,243] [INFO] [DEBUG] Decoding client response from 5234c2a458114c08be2cbdfbc934432a...
[2026-01-22 09:00:22,338] [INFO] [DEBUG] Decoding client response from dce58187632f497a89739fc0bfa22eb9...
[2026-01-22 09:00:22,382] [INFO] [DEBUG] Decoding client response from 652beb03e4ad4f06a460bc155961b550...
[2026-01-22 09:00:22,488] [INFO] [DEBUG] Decoding client response from 5e8708d6558343119b3ba90e47b5290c...
[2026-01-22 09:00:22,591] [INFO] [ENCODE] Starting encode_weights in aggregate_fit...
[2026-01-22 09:00:24,000] [INFO] [ENCODE] Finished encode_weights.
[2026-01-22 09:00:24,196] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-22 09:00:24,214] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-22 09:00:24,366] [INFO] [Server] Evaluating at round 3
[2026-01-22 09:00:24,367] [INFO] [SERVER][Round 3] Starting evaluation (mode=KH)...
[2026-01-22 09:00:41,584] [INFO] [Round 3] WT Dice: 0.3672 | Time: 17.22s
