batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,202861,157749,152155,208455,1.0
2,0,246029,162397,160776,247650,1.0
3,0,169382,169918,108475,230825,0.9399
4,0,295428,200621,199145,296904,1.0
5,0,12897,12470,10444,14923,1.0
6,0,56032,42636,41828,56840,1.0
7,0,56052,46230,45277,57005,1.0
8,0,68679,51782,51756,68705,1.0
9,0,81751,59342,58253,82840,1.0
10,0,384848,77740,77403,385185,0.4019
11,0,144831,78549,77505,145875,1.0
12,0,88129,78584,77129,89584,1.0
13,0,102192,79080,73921,107351,1.0
14,0,122193,83463,83074,122582,1.0
15,0,111691,84845,84137,112399,1.0
16,0,111297,85112,85020,111389,1.0
17,0,115115,95788,81046,129857,1.0
18,0,119540,98011,95805,121746,1.0
19,0,250564,98512,98497,250579,0.7862
20,0,113555,98996,96879,115672,1.0
21,0,123681,105016,104640,124057,1.0
22,0,163255,107675,107542,163388,1.0
23,0,127906,107935,106251,129590,1.0
24,0,147618,111614,111528,147704,1.0
25,0,143027,111967,111776,143218,1.0
26,0,172314,120374,119700,172988,1.0
27,0,170021,138460,135698,172783,1.0
28,0,162230,147383,134115,175498,1.0
29,0,434821,147861,145075,437607,0.663
30,0,188439,150203,141494,197148,1.0
31,0,188376,157326,150833,194869,1.0
32,0,191287,158379,157139,192527,1.0
33,0,256535,173764,173274,257025,1.0
34,0,371438,224832,224168,372102,1.0
35,0,28416,20466,19894,28988,1.0
36,0,45591,34197,34189,45599,1.0
37,0,56301,44986,44516,56771,1.0
38,0,54893,46623,46517,54999,1.0
39,0,64589,51390,50008,65971,1.0
40,0,76328,58948,58941,76335,1.0
41,0,85544,71632,71570,85606,1.0
42,0,90221,72110,71994,90337,1.0
43,0,93633,74298,73471,94460,1.0
44,0,113276,79454,78596,114134,1.0
45,0,108631,83563,82617,109577,1.0
46,0,104925,87678,85729,106874,1.0
47,0,106424,89503,89115,106812,1.0
48,0,105575,91161,91106,105630,1.0
49,0,119520,98447,97585,120382,1.0
50,0,424993,104055,101175,427873,0.4729
51,0,180981,113630,113554,181057,1.0
52,0,125941,118171,114076,130036,1.0
53,0,166401,125934,122277,170058,1.0
54,0,154573,130763,129201,156135,1.0
55,0,165097,140799,139958,165938,1.0
56,0,164812,146440,145999,165253,1.0
57,0,195302,153071,152647,195726,1.0
58,0,180767,157089,155220,182636,1.0
59,0,186308,157414,153452,190270,1.0
60,0,174602,161243,156961,178884,1.0
61,0,194082,168343,167408,195017,1.0
62,0,203604,173462,171498,205568,1.0
63,0,213010,186129,183929,215210,1.0
64,0,230382,192199,191042,231539,1.0
65,0,228510,216245,210798,233957,1.0
66,0,332186,220576,220347,332415,1.0
67,0,266676,237250,234318,269608,1.0
