Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SH,-,154016352,143015030,1.0769242353065187
2,SH,-,154016352,149223747,1.032116901569284
3,SH,-,154016352,144574252,1.0653096889512974
4,SH,-,154016352,142946894,1.0774375546865473
5,SH,-,154016352,142653904,1.0796504486018264
6,SH,-,154016352,137252137,1.1221417386739883
7,SH,-,154016352,140320174,1.097606616310868
8,SH,-,154016352,130883685,1.176742169672531
9,SH,-,154016352,138392990,1.1128912772610553
10,SH,-,154016352,142587146,1.0801559348085006
11,SH,-,154016352,141908520,1.085321387049818
12,SH,-,154016352,140297963,1.0977803821454903
13,SH,-,154016352,135462856,1.136963708922008
14,SH,-,154016352,139374364,1.1050550966484902
15,SH,-,154016352,135075003,1.1402283736672785
16,SH,-,154016352,140259829,1.0980788467310028
17,SH,-,154016352,140845017,1.0935165116682297
18,SH,-,154016352,143592155,1.0725958602391874
19,SH,-,154016352,137837877,1.117373210016583
20,SH,-,154016352,137930372,1.1166239118917922
21,SH,-,154016352,140943576,1.0927518336030928
22,SH,-,154016352,134467647,1.1453784996078773
23,SH,-,154016352,143013528,1.0769355425367921
24,SH,-,154016352,140922374,1.0929162397854961
25,SH,-,154016352,136861673,1.1253431882413758
