round,dice_wt,time_sec,loss
0,0.1107,20.97,0.8893
1,0.022,17.69,0.978
2,0.4927,17.75,0.5073
3,0.5592,18.29,0.4408
4,0.8569,17.87,0.1431
5,0.9465,17.87,0.0535
6,0.9008,18.56,0.0992
7,0.8558,17.54,0.1442
8,0.913,17.7,0.087
9,0.9568,17.56,0.0432
10,0.9667,17.59,0.0333
11,0.979,17.68,0.021
12,0.98,17.56,0.02
13,0.9798,17.24,0.0202
14,0.97,17.23,0.03
15,0.9768,17.29,0.0232
16,0.977,17.45,0.023
17,0.9745,17.43,0.0255
18,0.976,17.45,0.024
19,0.9782,17.47,0.0218
20,0.974,17.37,0.026
21,0.9762,17.59,0.0238
22,0.9741,17.55,0.0259
23,0.0238,17.67,0.9762
24,0.9762,17.44,0.0238
25,0.9645,17.92,0.0355
