round,dice_wt,time_sec,loss
0,0.1107,21.71,0.8893
1,0.3483,17.44,0.6517
2,0.315,17.47,0.685
3,0.3816,17.55,0.6184
4,0.2991,17.15,0.7009
5,0.2821,17.19,0.7179
6,0.3014,17.15,0.6986
7,0.2858,17.47,0.7142
8,0.2755,17.42,0.7245
9,0.2703,17.47,0.7297
10,0.8851,17.38,0.1149
11,0.4695,17.65,0.5305
12,0.4389,17.52,0.5611
13,0.7542,17.64,0.2458
14,0.7367,17.4,0.2633
15,0.8926,17.05,0.1074
16,0.9779,17.14,0.0221
17,0.9822,17.08,0.0178
18,0.9907,16.87,0.0093
19,0.9856,16.98,0.0144
20,0.9932,17.0,0.0068
21,0.9911,17.29,0.0089
22,0.9841,17.28,0.0159
23,0.9854,18.22,0.0146
24,0.9852,19.5,0.0148
25,0.9922,17.16,0.0078
