round,dice_wt,time_sec,loss
0,0.1107,21.52,0.8893
1,0.8509,17.72,0.1491
2,0.307,17.47,0.693
3,0.0386,17.18,0.9614
4,0.0031,17.18,0.9969
5,0.0087,17.26,0.9913
6,0.07,17.24,0.93
7,0.1641,17.37,0.8359
8,0.5429,17.46,0.4571
9,0.3258,17.31,0.6742
10,0.3614,17.21,0.6386
11,0.6515,17.2,0.3485
12,0.4047,17.26,0.5953
13,0.4393,17.25,0.5607
14,0.3197,17.25,0.6803
15,0.4953,17.3,0.5047
16,0.3093,17.51,0.6907
17,0.224,17.4,0.776
18,0.3583,17.37,0.6417
19,0.4828,17.26,0.5172
20,0.4751,17.41,0.5249
21,0.7527,17.11,0.2473
22,0.6727,17.56,0.3273
23,0.6832,17.82,0.3168
24,0.5867,18.37,0.4133
25,0.6909,17.76,0.3091
