round,dice_wt,time_sec,loss
0,0.1107,24.78,0.8893
1,0.022,17.65,0.978
2,0.2951,17.34,0.7049
3,0.342,17.73,0.658
4,0.3449,17.64,0.6551
5,0.4927,17.63,0.5073
6,0.3248,17.43,0.6752
7,0.186,17.47,0.814
8,0.0398,17.35,0.9602
9,0.0472,17.48,0.9528
10,0.0386,17.33,0.9614
11,0.028,17.63,0.972
12,0.2705,17.4,0.7295
13,0.0258,17.55,0.9742
14,0.0388,17.31,0.9612
15,0.0591,17.37,0.9409
16,0.0293,17.41,0.9707
17,0.0357,17.33,0.9643
18,0.0296,17.54,0.9704
19,0.0298,17.41,0.9702
20,0.0795,17.5,0.9205
21,0.2032,17.49,0.7968
22,0.1879,17.51,0.8121
23,0.1655,17.53,0.8345
24,0.3851,17.47,0.6149
25,0.7353,17.39,0.2647
