round,dice_wt,time_sec,loss
0,0.1107,24.1,0.8893
1,0.022,18.61,0.978
2,0.7509,18.49,0.2491
3,0.4214,18.38,0.5786
4,0.9232,18.32,0.0768
5,0.9515,18.11,0.0485
6,0.9015,18.06,0.0985
7,0.865,18.07,0.135
8,0.8739,17.85,0.1261
9,0.9438,17.98,0.0562
10,0.9665,18.04,0.0335
11,0.9681,17.92,0.0319
12,0.9716,17.79,0.0284
13,0.9733,17.87,0.0267
14,0.0341,18.1,0.9659
15,0.1309,17.93,0.8691
16,0.9809,18.15,0.0191
17,0.1473,18.49,0.8527
18,0.9734,18.26,0.0266
19,0.9774,17.95,0.0226
20,0.977,18.27,0.023
21,0.9801,17.81,0.0199
22,0.9754,17.87,0.0246
23,0.0273,17.89,0.9727
24,0.9794,18.09,0.0206
25,0.9777,17.95,0.0223
