batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,168343,157749,149646,176446,1.0
2,0,177132,162397,157341,182188,1.0
3,0,124450,169918,116593,177775,1.0
4,0,231675,200621,196707,235589,1.0
5,0,4632,12470,4627,12475,0.7418
6,0,43315,42636,38277,47674,1.0
7,0,51104,46230,44657,52677,1.0
8,0,60723,51782,51361,61144,1.0
9,0,77846,59342,58203,78985,1.0
10,0,111471,77740,76600,112611,1.0
11,0,93720,78549,77167,95102,1.0
12,0,81785,78584,74638,85731,1.0
13,0,76764,79080,65188,90656,1.0
14,0,97352,83463,81509,99306,1.0
15,0,94195,84845,82105,96935,1.0
16,0,94109,85112,84161,95060,1.0
17,0,73424,95788,65777,103435,1.0
18,0,104314,98011,90915,111410,1.0
19,0,241657,98512,98447,241722,0.8145
20,0,106467,98996,93226,112237,1.0
21,0,117692,105016,104272,118436,1.0
22,0,126723,107675,106185,128213,1.0
23,0,116821,107935,102169,122587,1.0
24,0,131205,111614,110801,132018,1.0
25,0,131593,111967,110803,132757,1.0
26,0,156948,120374,118449,158873,1.0
27,0,158804,138460,134223,163041,1.0
28,0,148421,147383,127107,168697,1.0
29,0,221161,147861,144206,224816,1.0
30,0,127688,150203,122403,155488,1.0
31,0,172587,157326,149376,180537,1.0
32,0,171767,158379,154181,175965,1.0
33,0,251408,173764,173207,251965,1.0
34,0,275448,224832,220873,279407,1.0
35,0,27264,20466,19633,28097,1.0
36,0,41015,34197,33803,41409,1.0
37,0,51168,44986,43047,53107,1.0
38,0,52765,46623,46360,53028,1.0
39,0,56474,51390,49087,58777,1.0
40,0,75506,58948,58774,75680,1.0
41,0,85025,71632,71287,85370,1.0
42,0,87939,72110,71768,88281,1.0
43,0,87854,74298,72368,89784,1.0
44,0,87854,79454,77925,89383,1.0
45,0,82786,83563,75991,90358,1.0
46,0,103757,87678,85450,105985,1.0
47,0,101701,89503,87718,103486,1.0
48,0,101152,91161,90302,102011,1.0
49,0,108524,98447,96254,110717,1.0
50,0,195180,104055,99149,200086,0.9911
51,0,134507,113630,113146,134991,1.0
52,0,105643,118171,103233,120581,1.0
53,0,134524,125934,116831,143627,1.0
54,0,151042,130763,127159,154646,1.0
55,0,154505,140799,136923,158381,1.0
56,0,157829,146440,142431,161838,1.0
57,0,194683,153071,151825,195929,1.0
58,0,169674,157089,153003,173760,1.0
59,0,159271,157414,145983,170702,1.0
60,0,166393,161243,154231,173405,1.0
61,0,191961,168343,166119,194185,1.0
62,0,189881,173462,168169,195174,1.0
63,0,204767,186129,182471,208425,1.0
64,0,218043,192199,190395,219847,1.0
65,0,216609,216245,202921,229933,1.0
66,0,287464,220576,219823,288217,1.0
67,0,256255,237250,227390,266115,1.0
