Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,KH,0,3,154016352,102252935,1.506229156160652
-1,KH,0,3,154016352,102268161,1.5060049041069585
-1,KH,0,3,154016352,102238459,1.5064424239805883
-1,KH,0,3,154016352,102224806,1.5066436222926165
-1,KH,0,3,154016352,102216457,1.5067666843510337
-1,KH,0,3,154016352,102229791,1.5065701542909347
-1,KH,0,3,154016352,102215020,1.5067878673799604
-1,KH,0,3,154016352,102158364,1.5076235167587453
-1,KH,0,3,154016352,102045779,1.5092868466416431
-1,KH,0,3,154016352,102006095,1.5098740129205024
-1,KH,0,3,154016352,101955794,1.5106189256885194
-1,KH,0,3,154016352,101951006,1.5106898699950053
-1,KH,0,3,154016352,101907965,1.5113279123962489
-1,KH,0,3,154016352,101908715,1.5113167897367756
-1,KH,0,3,154016352,101918128,1.511177206865495
-1,KH,0,3,154016352,102077358,1.5088199285095134
-1,KH,0,3,154016352,102066604,1.5089789016591557
-1,KH,0,3,154016352,102094114,1.508572296342177
-1,KH,0,3,154016352,102131261,1.5080236011185644
-1,KH,0,3,154016352,102106384,1.5083910130438074
-1,KH,0,3,154016352,102111821,1.5083106979357463
-1,KH,0,3,154016352,102056904,1.5091223225819197
-1,KH,0,3,154016352,102044534,1.509305260779573
-1,KH,0,3,154016352,102016106,1.5097258466226893
-1,KH,0,3,154016352,102050375,1.5092188735220229
