Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,3,154016352,40963002,3.7598892205089345
2,KH,3,154016352,40958211,3.760329044053608
3,KH,3,154016352,40952735,3.76083187540495
4,KH,3,154016352,40942389,3.7617822432292063
5,KH,3,154016352,40927820,3.763121263006108
6,KH,3,154016352,40943271,3.7617012067120497
7,KH,3,154016352,40856968,3.769647070055702
8,KH,3,154016352,40836652,3.7715225032131303
9,KH,3,154016352,40832769,3.7718811205401277
10,KH,3,154016352,40849721,3.770315866692277
11,KH,3,154016352,40855576,3.7697755248911364
12,KH,3,154016352,40850452,3.7702483984786546
13,KH,3,154016352,40842189,3.7710111571788385
14,KH,3,154016352,40842252,3.7710053593882993
15,KH,3,154016352,40831839,3.771967045177359
16,KH,3,154016352,40848885,3.7703929894229002
17,KH,3,154016352,40852490,3.7700602733063024
18,KH,3,154016352,40857379,3.7696091844897643
19,KH,3,154016352,40851978,3.7701075792386995
20,KH,3,154016352,40847058,3.770561649298945
21,KH,3,154016352,40848420,3.7704359283597726
22,KH,3,154016352,40844036,3.77084066542138
23,KH,3,154016352,40839901,3.7712224224316686
24,KH,3,154016352,40836844,3.771504694841143
25,KH,3,154016352,40835916,3.77159040242883
