round,dice_wt,time_sec,loss
0,0.1107,22.04,0.8893
1,0.4677,18.05,0.5323
2,0.4496,17.38,0.5504
3,0.5171,17.37,0.4829
4,0.591,17.37,0.409
5,0.4672,17.41,0.5328
6,0.1718,17.4,0.8282
7,0.0445,17.2,0.9555
8,0.0861,17.2,0.9139
9,0.0716,17.44,0.9284
10,0.1033,17.23,0.8967
11,0.0298,17.25,0.9702
12,0.0387,17.2,0.9613
13,0.0156,17.19,0.9844
14,0.0,17.15,1.0
15,0.0,17.26,1.0
16,0.0001,17.3,0.9999
17,0.0,17.41,1.0
18,0.0,17.28,1.0
19,0.0,17.27,1.0
20,0.0,17.27,1.0
21,0.0122,17.33,0.9878
22,0.0001,17.27,0.9999
23,0.0012,17.66,0.9988
24,0.0006,17.5,0.9994
25,0.0002,17.46,0.9998
