Round,BestMetricKey,MetricValue,Loss,AllMetrics
0,WT,0.1107,0.8893,"{'WT': 0.1107, 'num_examples': 67}"
1,WT,0.3668,0.6332,"{'WT': 0.3668, 'num_examples': 67}"
3,WT,0.4345,0.5655,"{'WT': 0.4345, 'num_examples': 67}"
5,WT,0.6486,0.35140000000000005,"{'WT': 0.6486, 'num_examples': 67}"
6,WT,0.7891,0.21089999999999998,"{'WT': 0.7891, 'num_examples': 67}"
14,WT,0.8073,0.19269999999999998,"{'WT': 0.8073, 'num_examples': 67}"
15,WT,0.9443,0.05569999999999997,"{'WT': 0.9443, 'num_examples': 67}"
16,WT,0.9807,0.019299999999999984,"{'WT': 0.9807, 'num_examples': 67}"
17,WT,0.9811,0.018900000000000028,"{'WT': 0.9811, 'num_examples': 67}"
18,WT,0.983,0.017000000000000015,"{'WT': 0.983, 'num_examples': 67}"
19,WT,0.9962,0.0038000000000000256,"{'WT': 0.9962, 'num_examples': 67}"
24,WT,0.9963,0.0037000000000000366,"{'WT': 0.9963, 'num_examples': 67}"
