batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,831913,157749,157749,831913,0.3792
2,0,922339,162397,162397,922339,0.3521
3,0,532821,169918,169209,533530,0.6343
4,0,1119077,200621,200621,1119077,0.3585
5,0,0,12470,0,12470,0.0
6,0,283456,42636,42636,283456,0.3008
7,0,339126,46230,46230,339126,0.2726
8,0,428010,51782,51782,428010,0.242
9,0,504743,59342,59342,504743,0.2351
10,0,902999,77740,77740,902999,0.1722
11,0,756426,78549,78549,756426,0.2077
12,0,496850,78584,78523,496911,0.316
13,0,427542,79080,79080,427542,0.3699
14,0,647294,83463,83463,647294,0.2579
15,0,442669,84845,84844,442670,0.3833
16,0,632244,85112,85112,632244,0.2692
17,0,347119,95788,88250,354657,0.4977
18,0,394673,98011,98011,394673,0.4967
19,0,1017466,98512,98512,1017466,0.1936
20,0,399960,98996,98993,399963,0.495
21,0,546489,105016,105016,546489,0.3843
22,0,799251,107675,107675,799251,0.2694
23,0,401476,107935,107935,401476,0.5377
24,0,648004,111614,111614,648004,0.3445
25,0,580089,111967,111967,580089,0.386
26,0,821789,120374,120374,821789,0.293
27,0,559010,138460,138460,559010,0.4954
28,0,556537,147383,146814,557106,0.5271
29,0,996365,147861,147861,996365,0.2968
30,0,565235,150203,150127,565311,0.5311
31,0,837022,157326,157326,837022,0.3759
32,0,787611,158379,158379,787611,0.4022
33,0,1035463,173764,173764,1035463,0.3356
34,0,1413531,224832,224832,1413531,0.3181
35,0,122501,20466,20466,122501,0.3341
36,0,426712,34197,34197,426712,0.1603
37,0,513805,44986,44986,513805,0.1751
38,0,301516,46623,46623,301516,0.3093
39,0,354922,51390,51390,354922,0.2896
40,0,622323,58948,58948,622323,0.1894
41,0,593523,71632,71632,593523,0.2414
42,0,564681,72110,72110,564681,0.2554
43,0,414420,74298,74298,414420,0.3586
44,0,633327,79454,79454,633327,0.2509
45,0,616304,83563,83563,616304,0.2712
46,0,565206,87678,87678,565206,0.3103
47,0,455592,89503,89503,455592,0.3929
48,0,550648,91161,91161,550648,0.3311
49,0,598233,98447,98447,598233,0.3291
50,0,983148,104055,104055,983148,0.2117
51,0,903061,113630,113630,903061,0.2517
52,0,330136,118171,118171,330136,0.7159
53,0,451065,125934,125775,451224,0.5575
54,0,822282,130763,130763,822282,0.318
55,0,608979,140799,140799,608979,0.4624
56,0,881890,146440,146440,881890,0.3321
57,0,890195,153071,153071,890195,0.3439
58,0,593878,157089,157089,593878,0.529
59,0,534239,157414,156399,535254,0.5844
60,0,463515,161243,161243,463515,0.6957
61,0,948325,168343,168343,948325,0.355
62,0,870664,173462,173462,870664,0.3985
63,0,861091,186129,186129,861091,0.4323
64,0,904103,192199,192199,904103,0.4252
65,0,793246,216245,216245,793246,0.5452
66,0,1171627,220576,220576,1171627,0.3765
67,0,962308,237250,237250,962308,0.4931
