[2026-01-23 23:20:38,849] [INFO] [SERVER INIT] EXPERIMENT_DIR=Revision2/Run_UNET_IID_KH64_20260123, LOG=Revision2/Run_UNET_IID_KH64_20260123/Server/ServerReport20260123.log
[2026-01-23 23:20:38,852] [INFO] [ENV] SERVER_ADDRESS=127.0.0.1, SERVER_PORT=8089, DATA_PATH=/home/jovyan/FeTS2022/MICCAI_FeTS2022_TrainingData, ENCODING_MODE=KH, N_CLUSTERS=64
[2026-01-23 23:20:38,956] [INFO] [DATA] Server test set loaded with 67 samples.
[2026-01-23 23:20:39,238] [INFO] [MODEL INIT] UNet with 148 layers initialized on cuda
[2026-01-23 23:20:39,279] [INFO] [STRATEGY INIT] mode=KH, UsedClusters=64 (EnvNClusters=64), experiment_dir=Revision2/Run_UNET_IID_KH64_20260123 | BestMetricKey=WT
[2026-01-23 23:20:39,279] [INFO] [SERVER START] Address=127.0.0.1:8089, Rounds=25, Mode=KH, NClusters=64
[2026-01-23 23:20:39,315] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-23 23:20:39,328] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-23 23:20:39,328] [INFO] [Server] Evaluating at round 0
[2026-01-23 23:20:39,328] [INFO] [SERVER][Round 0] Starting evaluation (mode=KH)...
[2026-01-23 23:21:01,044] [INFO] [Round 0] WT Dice: 0.1107 | Time: 21.72s
[2026-01-23 23:21:01,149] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_KH64_20260123/Server/best_model.pth
[2026-01-23 23:21:01,223] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_KH64_20260123/Server/best_model_round0.pth
[2026-01-23 23:21:01,224] [INFO] [BEST MODEL] New best at round 0: WT=0.1107
[2026-01-23 23:32:06,214] [INFO] [SERVER DEBUG] aggregate_fit called at round 1
[2026-01-23 23:32:06,215] [INFO] [DEBUG] aggregate_fit received 4 results at round 1
[2026-01-23 23:32:06,215] [INFO] [DEBUG] Decoding client response from fb740d48133d49508aaa780329e5e5e2...
[2026-01-23 23:32:06,451] [INFO] [DEBUG] Decoding client response from f9c0e2db75474af78ac83564a269d958...
[2026-01-23 23:32:06,604] [INFO] [DEBUG] Decoding client response from ebb19c3209044c429aa8d35f7f992ea2...
[2026-01-23 23:32:06,782] [INFO] [DEBUG] Decoding client response from ba4f7164fe564bd180edb48078a8e786...
[2026-01-23 23:32:06,852] [INFO] [ENCODE] Starting encode_weights in aggregate_fit...
