Round,BestMetricKey,MetricValue,Loss,AllMetrics
0,WT,0.1107,0.8893,"{'WT': 0.1107, 'num_examples': 67}"
3,WT,0.2562,0.7438,"{'WT': 0.2562, 'num_examples': 67}"
4,WT,0.327,0.673,"{'WT': 0.327, 'num_examples': 67}"
10,WT,0.3371,0.6629,"{'WT': 0.3371, 'num_examples': 67}"
12,WT,0.3538,0.6462,"{'WT': 0.3538, 'num_examples': 67}"
13,WT,0.3937,0.6063000000000001,"{'WT': 0.3937, 'num_examples': 67}"
14,WT,0.3991,0.6009,"{'WT': 0.3991, 'num_examples': 67}"
15,WT,0.5773,0.42269999999999996,"{'WT': 0.5773, 'num_examples': 67}"
16,WT,0.5895,0.4105,"{'WT': 0.5895, 'num_examples': 67}"
21,WT,0.738,0.262,"{'WT': 0.738, 'num_examples': 67}"
