Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SH,0.3,-,154016352,166259802,0.92635952693712
-1,SH,0.3,-,154016352,165966225,0.927998159035861
-1,SH,0.3,-,154016352,166594336,0.9244993254917455
-1,SH,0.3,-,154016352,166643546,0.9242263228598181
-1,SH,0.3,-,154016352,168198962,0.9156795588557467
-1,SH,0.3,-,154016352,168460179,0.9142596945703425
-1,SH,0.3,-,154016352,169499019,0.9086562990037184
-1,SH,0.3,-,154016352,169816592,0.9069570262414759
-1,SH,0.3,-,154016352,169353318,0.9094380527898914
-1,SH,0.3,-,154016352,169837368,0.9068460831358851
-1,SH,0.3,-,154016352,169626417,0.9079738553749721
-1,SH,0.3,-,154016352,169867133,0.9066871804849644
-1,SH,0.3,-,154016352,169593948,0.9081476862105264
-1,SH,0.3,-,154016352,168867855,0.9120525104744404
-1,SH,0.3,-,154016352,168927798,0.9117288791898309
-1,SH,0.3,-,154016352,169044816,0.9110977515377424
-1,SH,0.3,-,154016352,168862484,0.9120815229000938
-1,SH,0.3,-,154016352,168932315,0.9117045003575881
-1,SH,0.3,-,154016352,168916700,0.9117887780675807
-1,SH,0.3,-,154016352,168168256,0.9158467547182197
-1,SH,0.3,-,154016352,167632823,0.9187720458525698
-1,SH,0.3,-,154016352,166645913,0.9242131944374817
-1,SH,0.3,-,154016352,166343877,0.9258913154605305
-1,SH,0.3,-,154016352,167462470,0.91970667710107
-1,SH,0.3,-,154016352,165772422,0.929083075857814
