batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,6180858,157749,157749,6180858,0.051
2,0,6316182,162397,162397,6316182,0.0514
3,0,5398145,169918,169918,5398145,0.063
4,0,5977057,200621,200621,5977057,0.0671
5,0,4683010,12470,12461,4683019,0.0053
6,0,5119350,42636,42636,5119350,0.0167
7,0,5836072,46230,46230,5836072,0.0158
8,0,6616884,51782,51782,6616884,0.0157
9,0,6506367,59342,59342,6506367,0.0182
10,0,6321323,77740,77740,6321323,0.0246
11,0,6581544,78549,78549,6581544,0.0239
12,0,5529081,78584,78584,5529081,0.0284
13,0,6337039,79080,79080,6337039,0.025
14,0,6192315,83463,83463,6192315,0.027
15,0,5547803,84845,84845,5547803,0.0306
16,0,6312270,85112,85112,6312270,0.027
17,0,4887064,95788,95788,4887064,0.0392
18,0,4877543,98011,98011,4877543,0.0402
19,0,6487900,98512,98512,6487900,0.0304
20,0,5607442,98996,98996,5607442,0.0353
21,0,6491949,105016,105016,6491949,0.0324
22,0,6340067,107675,107675,6340067,0.034
23,0,5408704,107935,107935,5408704,0.0399
24,0,6291414,111614,111614,6291414,0.0355
25,0,6140129,111967,111967,6140129,0.0365
26,0,6287011,120374,120374,6287011,0.0383
27,0,5091831,138460,138460,5091831,0.0544
28,0,6160642,147383,147383,6160642,0.0478
29,0,6236603,147861,147861,6236603,0.0474
30,0,5764644,150203,150203,5764644,0.0521
31,0,5419861,157326,157326,5419861,0.0581
32,0,5949484,158379,158379,5949484,0.0532
33,0,6242232,173764,173764,6242232,0.0557
34,0,6532755,224832,224832,6532755,0.0688
35,0,3853947,20466,20466,3853947,0.0106
36,0,6170587,34197,34197,6170587,0.0111
37,0,5913408,44986,44986,5913408,0.0152
38,0,5207533,46623,46623,5207533,0.0179
39,0,5630515,51390,51390,5630515,0.0183
40,0,6354670,58948,58948,6354670,0.0186
41,0,6039317,71632,71632,6039317,0.0237
42,0,5947779,72110,72110,5947779,0.0242
43,0,6139103,74298,74298,6139103,0.0242
44,0,6334914,79454,79454,6334914,0.0251
45,0,5923070,83563,83563,5923070,0.0282
46,0,5547680,87678,87678,5547680,0.0316
47,0,5446492,89503,89503,5446492,0.0329
48,0,5390199,91161,91161,5390199,0.0338
49,0,5794370,98447,98447,5794370,0.034
50,0,6205784,104055,104055,6205784,0.0335
51,0,6548574,113630,113630,6548574,0.0347
52,0,4698536,118171,118171,4698536,0.0503
53,0,5405629,125934,125934,5405629,0.0466
54,0,5793830,130763,130763,5793830,0.0451
55,0,5000936,140799,140799,5000936,0.0563
56,0,6036625,146440,146440,6036625,0.0485
57,0,6387097,153071,153071,6387097,0.0479
58,0,4710813,157089,157089,4710813,0.0667
59,0,6268631,157414,157414,6268631,0.0502
60,0,4939144,161243,161243,4939144,0.0653
61,0,5714732,168343,168343,5714732,0.0589
62,0,5841908,173462,173462,5841908,0.0594
63,0,5849217,186129,186129,5849217,0.0636
64,0,5429467,192199,192199,5429467,0.0708
65,0,5043714,216245,216245,5043714,0.0857
66,0,6301310,220576,220576,6301310,0.07
67,0,6387719,237250,237250,6387719,0.0743
