Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SH,-,154016352,157657651,0.976903759031522
2,SH,-,154016352,151873068,1.0141123364417326
3,SH,-,154016352,152707450,1.0085713016211624
4,SH,-,154016352,155091904,0.9930650604025727
5,SH,-,154016352,157314663,0.9790336668299306
6,SH,-,154016352,157502854,0.9778638781001524
7,SH,-,154016352,159817894,0.9636990434430387
8,SH,-,154016352,159959929,0.9628433352297635
9,SH,-,154016352,149194939,1.032316194916589
10,SH,-,154016352,156923059,0.9814768593453237
11,SH,-,154016352,147734971,1.0425179014790247
12,SH,-,154016352,156387178,0.9848400221682819
13,SH,-,154016352,145422741,1.0590939896296145
14,SH,-,154016352,157478725,0.9780137092494589
15,SH,-,154016352,156947383,0.9813247486243591
16,SH,-,154016352,156020983,0.9871515294391376
17,SH,-,154016352,159648948,0.9647188605778064
18,SH,-,154016352,157077772,0.9805101589418395
19,SH,-,154016352,157468622,0.9780764555720198
20,SH,-,154016352,155033656,0.9934381705479561
21,SH,-,154016352,155827883,0.9883747907139744
22,SH,-,154016352,155793395,0.9885935891628091
23,SH,-,154016352,155268298,0.9919368805255874
24,SH,-,154016352,154167389,0.9990203034826227
25,SH,-,154016352,150525889,1.0231884521568693
