batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,1192505,157749,157722,1192532,0.2645
2,0,952351,162397,162397,952351,0.341
3,0,932647,169918,169918,932647,0.3644
4,0,908613,200621,200621,908613,0.4416
5,0,444573,12470,12470,444573,0.0561
6,0,625226,42636,42636,625226,0.1364
7,0,472403,46230,46230,472403,0.1957
8,0,822421,51782,51782,822421,0.1259
9,0,651233,59342,59342,651233,0.1822
10,0,1296314,77740,77740,1296314,0.1199
11,0,1138575,78549,78549,1138575,0.138
12,0,797617,78584,78580,797621,0.197
13,0,841701,79080,79080,841701,0.1879
14,0,915452,83463,83463,915452,0.1823
15,0,762323,84845,84845,762323,0.2226
16,0,921715,85112,85112,921715,0.1847
17,0,632351,95788,95666,632473,0.3025
18,0,913738,98011,97955,913794,0.2144
19,0,722078,98512,98512,722078,0.2729
20,0,714866,98996,98996,714866,0.277
21,0,882885,105016,105016,882885,0.2379
22,0,1161433,107675,107675,1161433,0.1854
23,0,733926,107935,107935,733926,0.2941
24,0,745339,111614,111614,745339,0.2995
25,0,1045411,111967,111967,1045411,0.2142
26,0,811572,120374,120374,811572,0.2966
27,0,468081,138460,138460,468081,0.5916
28,0,959364,147383,147222,959525,0.3069
29,0,956626,147861,147861,956626,0.3091
30,0,897032,150203,150203,897032,0.3349
31,0,989739,157326,157325,989740,0.3179
32,0,734519,158379,158379,734519,0.4312
33,0,856504,173764,173764,856504,0.4058
34,0,1221097,224832,224832,1221097,0.3682
35,0,365889,20466,20466,365889,0.1119
36,0,607751,34197,34197,607751,0.1125
37,0,673813,44986,44967,673832,0.1335
38,0,422558,46623,46623,422558,0.2207
39,0,607552,51390,51390,607552,0.1692
40,0,692931,58948,58948,692931,0.1701
41,0,520146,71632,71632,520146,0.2754
42,0,609869,72110,72110,609869,0.2365
43,0,783943,74298,74298,783943,0.1895
44,0,738720,79454,79454,738720,0.2151
45,0,684183,83563,83155,684591,0.2429
46,0,633891,87678,87678,633891,0.2766
47,0,531395,89503,89503,531395,0.3369
48,0,605451,91161,91161,605451,0.3011
49,0,756040,98447,98447,756040,0.2604
50,0,1234683,104055,103360,1235378,0.1673
51,0,867194,113630,113630,867194,0.2621
52,0,456380,118171,118170,456381,0.5179
53,0,952741,125934,125570,953105,0.2635
54,0,809113,130763,130763,809113,0.3232
55,0,669928,140799,140799,669928,0.4203
56,0,669748,146440,146435,669753,0.4373
57,0,853817,153071,153071,853817,0.3586
58,0,726064,157089,157089,726064,0.4327
59,0,839860,157414,157302,839972,0.3745
60,0,694865,161243,161243,694865,0.4641
61,0,820769,168343,168343,820769,0.4102
62,0,867252,173462,173462,867252,0.4
63,0,745666,186129,186129,745666,0.4992
64,0,607680,192199,192199,607680,0.6326
65,0,636269,216245,216218,636296,0.6796
66,0,884955,220576,220576,884955,0.4985
67,0,809294,237250,237250,809294,0.5863
