Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SH,-,154016352,134034726,1.149077971389079
2,SH,-,154016352,123998208,1.2420853014320583
3,SH,-,154016352,128124293,1.2020854754857633
4,SH,-,154016352,128544693,1.1981541071218234
5,SH,-,154016352,133322966,1.155212455582192
6,SH,-,154016352,136942271,1.1246808643517943
7,SH,-,154016352,140657581,1.09497369566412
8,SH,-,154016352,147478295,1.0443323307309065
9,SH,-,154016352,147147322,1.0466813060368734
10,SH,-,154016352,148035021,1.0404048345720118
11,SH,-,154016352,144190651,1.0681438128369074
12,SH,-,154016352,145135481,1.0611902118663332
13,SH,-,154016352,147048381,1.0473855646553634
14,SH,-,154016352,145018265,1.0620479507880967
15,SH,-,154016352,147126788,1.0468273875111231
16,SH,-,154016352,146669288,1.0500927222432916
17,SH,-,154016352,143442407,1.0737156060512012
18,SH,-,154016352,139928970,1.1006752298436613
19,SH,-,154016352,144568930,1.0653489088396872
20,SH,-,154016352,137212879,1.122462791593141
21,SH,-,154016352,141899266,1.0853921630550964
22,SH,-,154016352,131597987,1.1703549150032948
23,SH,-,154016352,135299182,1.1383391182555542
24,SH,-,154016352,130810017,1.177404869902821
25,SH,-,154016352,128411984,1.1993923521991379
