Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SKH,0.6,32,154016352,45978000,3.3497835875957866
-1,SKH,0.6,32,154016352,45619981,3.3760722056049413
-1,SKH,0.6,32,154016352,45626205,3.375611680396895
-1,SKH,0.6,32,154016352,45536710,3.382245898474281
-1,SKH,0.6,32,154016352,45578229,3.3791648883725105
-1,SKH,0.6,32,154016352,45563325,3.3802701910010033
-1,SKH,0.6,32,154016352,45525889,3.383049843186969
-1,SKH,0.6,32,154016352,45408781,3.3917746026440465
-1,SKH,0.6,32,154016352,45512233,3.3840649254749473
-1,SKH,0.6,32,154016352,45391549,3.393062199464689
-1,SKH,0.6,32,154016352,45461344,3.3878530140648704
-1,SKH,0.6,32,154016352,45386404,3.3934468536778892
-1,SKH,0.6,32,154016352,45451898,3.3885570552214777
-1,SKH,0.6,32,154016352,45478947,3.386541708903778
-1,SKH,0.6,32,154016352,45391777,3.393045185099278
-1,SKH,0.6,32,154016352,45441599,3.389325095320118
-1,SKH,0.6,32,154016352,45440718,3.389390793618405
-1,SKH,0.6,32,154016352,45449075,3.3887675276251
-1,SKH,0.6,32,154016352,45423580,3.3906695669079063
-1,SKH,0.6,32,154016352,45518276,3.3836156552011616
-1,SKH,0.6,32,154016352,45535615,3.3823272116072056
-1,SKH,0.6,32,154016352,45447103,3.388914573111072
-1,SKH,0.6,32,154016352,45423142,3.3907022976583354
-1,SKH,0.6,32,154016352,45302509,3.399731124116248
-1,SKH,0.6,32,154016352,45401956,3.392284456442955
