Round,BestMetricKey,MetricValue,Loss,AllMetrics
0,WT,0.1107,0.8893,"{'WT': 0.1107, 'num_examples': 67}"
1,WT,0.2993,0.7007,"{'WT': 0.2993, 'num_examples': 67}"
2,WT,0.3839,0.6161,"{'WT': 0.3839, 'num_examples': 67}"
3,WT,0.4054,0.5946,"{'WT': 0.4054, 'num_examples': 67}"
4,WT,0.5035,0.49650000000000005,"{'WT': 0.5035, 'num_examples': 67}"
6,WT,0.8686,0.13139999999999996,"{'WT': 0.8686, 'num_examples': 67}"
19,WT,0.9616,0.03839999999999999,"{'WT': 0.9616, 'num_examples': 67}"
23,WT,0.9756,0.024399999999999977,"{'WT': 0.9756, 'num_examples': 67}"
24,WT,0.979,0.02100000000000002,"{'WT': 0.979, 'num_examples': 67}"
25,WT,0.9816,0.018399999999999972,"{'WT': 0.9816, 'num_examples': 67}"
0,WT,0.1107,0.8893,"{'WT': 0.1107, 'num_examples': 67}"
0,WT,0.1107,0.8893,"{'WT': 0.1107, 'num_examples': 67}"
0,WT,0.1107,0.8893,"{'WT': 0.1107, 'num_examples': 67}"
