batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,338454,157749,157680,338523,0.9316
2,0,358632,162397,162345,358684,0.9052
3,0,131113,169918,102558,198473,1.0
4,0,546870,200621,200621,546870,0.7337
5,0,0,12470,0,12470,0.0
6,0,78896,42636,41058,80474,1.0
7,0,109547,46230,45930,109847,0.8363
8,0,116900,51782,51779,116903,0.8858
9,0,80388,59342,55113,84617,1.0
10,0,161251,77740,77567,161424,0.961
11,0,163413,78549,78511,163451,0.9607
12,0,163040,78584,78523,163101,0.9629
13,0,128937,79080,70254,137763,1.0
14,0,148615,83463,82257,149821,1.0
15,0,141019,84845,82247,143617,1.0
16,0,219769,85112,85112,219769,0.7746
17,0,103919,95788,66938,132769,1.0
18,0,126675,98011,86113,138573,1.0
19,0,374902,98512,98512,374902,0.5255
20,0,142620,98996,87773,153843,1.0
21,0,176616,105016,104999,176633,1.0
22,0,268906,107675,107610,268971,0.8002
23,0,132916,107935,90188,150663,1.0
24,0,232721,111614,111599,232736,0.959
25,0,199566,111967,111267,200266,1.0
26,0,365547,120374,120374,365547,0.6586
27,0,204467,138460,133213,209714,1.0
28,0,187751,147383,124645,210489,1.0
29,0,291469,147861,140980,298350,0.9451
30,0,149660,150203,113061,186802,1.0
31,0,348483,157326,157081,348728,0.9009
32,0,328049,158379,157928,328500,0.9615
33,0,427785,173764,173764,427785,0.8124
34,0,551955,224832,223525,553262,0.808
35,0,26614,20466,18232,28848,1.0
36,0,148650,34197,34197,148650,0.4601
37,0,197563,44986,44894,197655,0.4543
38,0,85944,46623,46608,85959,1.0
39,0,113137,51390,50545,113982,0.8869
40,0,263186,58948,58948,263186,0.448
41,0,253308,71632,71632,253308,0.5656
42,0,229334,72110,72110,229334,0.6289
43,0,135380,74298,74123,135555,1.0
44,0,200311,79454,79454,200311,0.7933
45,0,209876,83563,82655,210784,0.7843
46,0,220177,87678,86523,221332,0.7818
47,0,165111,89503,88930,165684,1.0
48,0,212897,91161,91122,212936,0.8559
49,0,214409,98447,98394,214462,0.9176
50,0,186895,104055,101108,189842,1.0
51,0,378151,113630,113630,378151,0.601
52,0,101086,118171,91109,128148,1.0
53,0,103405,125934,86203,143136,1.0
54,0,357915,130763,130332,358346,0.7274
55,0,228810,140799,138829,230780,1.0
56,0,394828,146440,146301,394967,0.7408
57,0,394280,153071,152853,394498,0.7749
58,0,229180,157089,151409,234860,1.0
59,0,180902,157414,124112,214204,1.0
60,0,160747,161243,129067,192923,1.0
61,0,435444,168343,168343,435444,0.7732
62,0,396410,173462,173462,396410,0.8752
63,0,398352,186129,186129,398352,0.9345
64,0,422334,192199,192199,422334,0.9102
65,0,329419,216245,212717,332947,1.0
66,0,522540,220576,220558,522558,0.8441
67,0,443622,237250,236813,444059,1.0
