Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SKH,32,154016352,45926163,3.353564495066118
2,SKH,32,154016352,45593407,3.3780399247985837
3,SKH,32,154016352,45418343,3.3910605294436698
4,SKH,32,154016352,45387565,3.393360023332001
5,SKH,32,154016352,45340052,3.3969160855539684
6,SKH,32,154016352,45270993,3.402097900357294
7,SKH,32,154016352,45324878,3.3980532755143695
8,SKH,32,154016352,45261396,3.402819258796832
9,SKH,32,154016352,45313060,3.3989394877036085
10,SKH,32,154016352,45335910,3.3972264319642975
11,SKH,32,154016352,45299497,3.399957191045712
12,SKH,32,154016352,45364800,3.395062923449969
13,SKH,32,154016352,45181414,3.4088430640571823
14,SKH,32,154016352,45270964,3.402100077254353
15,SKH,32,154016352,45249409,3.403720691250451
16,SKH,32,154016352,45283572,3.401152852802561
17,SKH,32,154016352,45233458,3.4049210200406486
18,SKH,32,154016352,45262052,3.4027699586437357
19,SKH,32,154016352,45203198,3.4072003307381236
20,SKH,32,154016352,45296180,3.400206140404122
21,SKH,32,154016352,45158434,3.4105777469492335
22,SKH,32,154016352,45043056,3.4193139381837687
23,SKH,32,154016352,45104527,3.4146539510200045
24,SKH,32,154016352,45088955,3.415833196892563
25,SKH,32,154016352,45026390,3.4205795584109877
