round,dice_wt,time_sec,loss
0,0.1107,21.79,0.8893
1,0.2993,17.42,0.7007
2,0.3839,17.72,0.6161
3,0.4054,17.51,0.5946
4,0.5035,17.51,0.4965
5,0.4186,17.75,0.5814
6,0.8686,17.64,0.1314
7,0.4824,17.75,0.5176
8,0.6885,17.37,0.3115
9,0.7928,17.24,0.2072
10,0.4244,17.21,0.5756
11,0.5397,17.26,0.4603
12,0.7813,17.24,0.2187
13,0.6805,17.48,0.3195
14,0.512,17.53,0.488
15,0.594,17.28,0.406
16,0.592,17.44,0.408
17,0.8503,17.55,0.1497
18,0.8669,17.46,0.1331
19,0.9616,17.57,0.0384
20,0.8619,17.13,0.1381
21,0.9586,17.36,0.0414
22,0.9335,17.34,0.0665
23,0.9756,17.49,0.0244
24,0.979,17.3,0.021
25,0.9816,17.31,0.0184
0,0.1107,21.58,0.8893
0,0.1107,21.69,0.8893
0,0.1107,21.83,0.8893
