[2026-01-24 16:17:59,598] [INFO] [SERVER INIT] EXPERIMENT_DIR=Revision2/Run_UNET_IID_SKHC32S60_20260124, LOG=Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/ServerReport20260124.log
[2026-01-24 16:17:59,600] [INFO] [ENV] SERVER_ADDRESS=127.0.0.1, SERVER_PORT=8089, DATA_PATH=/home/jovyan/FeTS2022/MICCAI_FeTS2022_TrainingData, ENCODING_MODE=SKH, N_CLUSTERS=32
[2026-01-24 16:17:59,712] [INFO] [DATA] Server test set loaded with 67 samples.
[2026-01-24 16:18:00,018] [INFO] [MODEL INIT] UNet with 148 layers initialized on cuda
[2026-01-24 16:18:00,061] [INFO] [STRATEGY INIT] mode=SKH, UsedClusters=32 (EnvNClusters=32), experiment_dir=Revision2/Run_UNET_IID_SKHC32S60_20260124 | BestMetricKey=WT
[2026-01-24 16:18:00,061] [INFO] [SERVER START] Address=127.0.0.1:8089, Rounds=25, Mode=SKH, NClusters=32
[2026-01-24 16:18:00,098] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-24 16:18:00,114] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-24 16:18:00,114] [INFO] [Server] Evaluating at round 0
[2026-01-24 16:18:00,114] [INFO] [SERVER][Round 0] Starting evaluation (mode=SKH)...
[2026-01-24 16:18:21,900] [INFO] [Round 0] WT Dice: 0.1107 | Time: 21.79s
[2026-01-24 16:18:21,978] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model.pth
[2026-01-24 16:18:22,043] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model_round0.pth
[2026-01-24 16:18:22,043] [INFO] [BEST MODEL] New best at round 0: WT=0.1107
[2026-01-24 16:31:06,436] [INFO] [SERVER DEBUG] aggregate_fit called at round 1
[2026-01-24 16:31:06,437] [INFO] [DEBUG] aggregate_fit received 4 results at round 1
[2026-01-24 16:31:06,437] [INFO] [DEBUG] Decoding client response from e5135f8825be4f91aaed769de6c5c6ef...
[2026-01-24 16:31:06,996] [INFO] [DEBUG] Decoding client response from 3a2e0c53790e4278a3ae5021241f73fb...
[2026-01-24 16:31:07,181] [INFO] [DEBUG] Decoding client response from 9d02ecb9d4b240519ed12a855820ed45...
[2026-01-24 16:31:07,342] [INFO] [DEBUG] Decoding client response from fcfee1b9f6c747488ec8cb7d69da3604...
[2026-01-24 16:31:07,433] [INFO] [ENCODE] Starting encode_weights in aggregate_fit...
[2026-01-24 16:31:17,331] [INFO] [ENCODE] Finished encode_weights.
[2026-01-24 16:31:17,532] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-24 16:31:17,553] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-24 16:31:17,891] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-24 16:31:17,904] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-24 16:31:17,904] [INFO] [Server] Evaluating at round 1
[2026-01-24 16:31:17,904] [INFO] [SERVER][Round 1] Starting evaluation (mode=SKH)...
[2026-01-24 16:31:35,329] [INFO] [Round 1] WT Dice: 0.2993 | Time: 17.42s
[2026-01-24 16:31:35,415] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model.pth
[2026-01-24 16:31:35,482] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model_round1.pth
[2026-01-24 16:31:35,482] [INFO] [BEST MODEL] New best at round 1: WT=0.2993
[2026-01-24 16:44:08,397] [INFO] [SERVER DEBUG] aggregate_fit called at round 2
[2026-01-24 16:44:08,397] [INFO] [DEBUG] aggregate_fit received 4 results at round 2
[2026-01-24 16:44:08,397] [INFO] [DEBUG] Decoding client response from 3a2e0c53790e4278a3ae5021241f73fb...
[2026-01-24 16:44:08,526] [INFO] [DEBUG] Decoding client response from fcfee1b9f6c747488ec8cb7d69da3604...
[2026-01-24 16:44:08,628] [INFO] [DEBUG] Decoding client response from e5135f8825be4f91aaed769de6c5c6ef...
[2026-01-24 16:44:08,726] [INFO] [DEBUG] Decoding client response from 9d02ecb9d4b240519ed12a855820ed45...
[2026-01-24 16:44:08,835] [INFO] [ENCODE] Starting encode_weights in aggregate_fit...
[2026-01-24 16:44:17,520] [INFO] [ENCODE] Finished encode_weights.
[2026-01-24 16:44:17,717] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-24 16:44:17,734] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-24 16:44:18,089] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-24 16:44:18,105] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-24 16:44:18,106] [INFO] [Server] Evaluating at round 2
[2026-01-24 16:44:18,106] [INFO] [SERVER][Round 2] Starting evaluation (mode=SKH)...
[2026-01-24 16:44:35,822] [INFO] [Round 2] WT Dice: 0.3839 | Time: 17.72s
[2026-01-24 16:44:35,911] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model.pth
[2026-01-24 16:44:35,976] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model_round2.pth
[2026-01-24 16:44:35,976] [INFO] [BEST MODEL] New best at round 2: WT=0.3839
[2026-01-24 16:57:41,500] [INFO] [SERVER DEBUG] aggregate_fit called at round 3
[2026-01-24 16:57:41,500] [INFO] [DEBUG] aggregate_fit received 4 results at round 3
[2026-01-24 16:57:41,500] [INFO] [DEBUG] Decoding client response from e5135f8825be4f91aaed769de6c5c6ef...
[2026-01-24 16:57:41,609] [INFO] [DEBUG] Decoding client response from 9d02ecb9d4b240519ed12a855820ed45...
[2026-01-24 16:57:41,710] [INFO] [DEBUG] Decoding client response from fcfee1b9f6c747488ec8cb7d69da3604...
[2026-01-24 16:57:41,819] [INFO] [DEBUG] Decoding client response from 3a2e0c53790e4278a3ae5021241f73fb...
[2026-01-24 16:57:41,944] [INFO] [ENCODE] Starting encode_weights in aggregate_fit...
[2026-01-24 16:57:50,457] [INFO] [ENCODE] Finished encode_weights.
[2026-01-24 16:57:50,652] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-24 16:57:50,669] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-24 16:57:50,967] [INFO] [DEBUG][SERVER] Model expects 148 layers
[2026-01-24 16:57:50,985] [INFO] [DEBUG] Loaded 148 of 148 layers
[2026-01-24 16:57:50,985] [INFO] [Server] Evaluating at round 3
[2026-01-24 16:57:50,985] [INFO] [SERVER][Round 3] Starting evaluation (mode=SKH)...
[2026-01-24 16:58:08,494] [INFO] [Round 3] WT Dice: 0.4054 | Time: 17.51s
[2026-01-24 16:58:08,576] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model.pth
[2026-01-24 16:58:08,643] [INFO] [BEST MODEL] Saved: Revision2/Run_UNET_IID_SKHC32S60_20260124/Server/best_model_round3.pth
[2026-01-24 16:58:08,643] [INFO] [BEST MODEL] New best at round 3: WT=0.4054
[2026-01-24 17:10:42,512] [INFO] [SERVER DEBUG] aggregate_fit called at round 4
[2026-01-24 17:10:42,512] [INFO] [DEBUG] aggregate_fit received 4 results at round 4
[2026-01-24 17:10:42,512] [INFO] [DEBUG] Decoding client response from e5135f8825be4f91aaed769de6c5c6ef...
[2026-01-24 17:10:42,578] [INFO] [DEBUG] Decoding client response from fcfee1b9f6c747488ec8cb7d69da3604...
