batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,817228,157749,157749,817228,0.3861
2,0,1173463,162397,162397,1173463,0.2768
3,0,905864,169918,169918,905864,0.3752
4,0,1236140,200621,200621,1236140,0.3246
5,0,179804,12470,11719,180555,0.1298
6,0,717549,42636,42636,717549,0.1188
7,0,429819,46230,46230,429819,0.2151
8,0,856942,51782,51782,856942,0.1209
9,0,664872,59342,59342,664872,0.1785
10,0,1185280,77740,77740,1185280,0.1312
11,0,974999,78549,78549,974999,0.1611
12,0,704324,78584,78523,704385,0.223
13,0,781249,79080,79080,781249,0.2024
14,0,955860,83463,83463,955860,0.1746
15,0,589019,84845,84844,589020,0.2881
16,0,1003333,85112,85112,1003333,0.1697
17,0,708052,95788,94883,708957,0.2677
18,0,724690,98011,97462,725239,0.2688
19,0,1109812,98512,98512,1109812,0.1775
20,0,541930,98996,98995,541931,0.3653
21,0,681421,105016,105016,681421,0.3082
22,0,1036836,107675,107675,1036836,0.2077
23,0,582031,107935,107745,582221,0.3701
24,0,713541,111614,111614,713541,0.3128
25,0,797784,111967,111967,797784,0.2807
26,0,1057855,120374,120374,1057855,0.2276
27,0,639225,138460,138460,639225,0.4332
28,0,930107,147383,147383,930107,0.3169
29,0,1144684,147861,147861,1144684,0.2583
30,0,976810,150203,150202,976811,0.3075
31,0,944665,157326,157326,944665,0.3331
32,0,934426,158379,158379,934426,0.339
33,0,1109500,173764,173764,1109500,0.3132
34,0,1543024,224832,224832,1543024,0.2914
35,0,384334,20466,20466,384334,0.1065
36,0,694478,34197,34197,694478,0.0985
37,0,794569,44986,44986,794569,0.1132
38,0,482445,46623,46623,482445,0.1933
39,0,288039,51390,51390,288039,0.3568
40,0,890612,58948,58948,890612,0.1324
41,0,708472,71632,71632,708472,0.2022
42,0,745417,72110,72110,745417,0.1935
43,0,755595,74298,74298,755595,0.1967
44,0,826642,79454,79454,826642,0.1922
45,0,1084029,83563,83563,1084029,0.1542
46,0,697491,87678,87678,697491,0.2514
47,0,529798,89503,89503,529798,0.3379
48,0,597571,91161,91161,597571,0.3051
49,0,679295,98447,98447,679295,0.2899
50,0,1025228,104055,104055,1025228,0.203
51,0,1054751,113630,113630,1054751,0.2155
52,0,545439,118171,118171,545439,0.4333
53,0,930235,125934,125930,930239,0.2707
54,0,877647,130763,130762,877648,0.298
55,0,632253,140799,140796,632256,0.4454
56,0,959532,146440,146440,959532,0.3052
57,0,917834,153071,153071,917834,0.3335
58,0,709822,157089,157076,709835,0.4426
59,0,910653,157414,157414,910653,0.3457
60,0,726755,161243,161190,726808,0.4436
61,0,953652,168343,168343,953652,0.353
62,0,1000947,173462,173462,1000947,0.3466
63,0,757010,186129,186129,757010,0.4917
64,0,852918,192199,192199,852918,0.4507
65,0,845052,216245,216245,845052,0.5118
66,0,1067128,220576,220576,1067128,0.4134
67,0,878394,237250,237250,878394,0.5402
