round,dice_wt,time_sec,loss
0,0.1107,22.14,0.8893
1,0.349,17.97,0.651
2,0.2809,17.73,0.7191
3,0.548,17.3,0.452
4,0.9336,17.27,0.0664
5,0.9756,17.31,0.0244
6,0.9723,17.4,0.0277
7,0.9816,17.5,0.0184
8,0.9745,17.51,0.0255
9,0.9846,17.94,0.0154
10,0.9809,17.35,0.0191
11,0.9905,17.69,0.0095
12,0.9862,19.12,0.0138
13,0.9795,17.16,0.0205
14,0.9832,17.45,0.0168
15,0.9826,17.33,0.0174
16,0.9704,17.55,0.0296
17,0.9707,17.16,0.0293
18,0.9768,17.24,0.0232
19,0.9718,17.5,0.0282
20,0.9723,17.09,0.0277
21,0.977,17.23,0.023
22,0.9759,17.31,0.0241
23,0.9778,17.19,0.0222
24,0.9787,17.43,0.0213
25,0.9817,17.19,0.0183
