round,dice_wt,time_sec,loss
0,0.1107,23.04,0.8893
1,0.3503,17.4,0.6497
2,0.2736,17.39,0.7264
3,0.5355,17.42,0.4645
4,0.9138,17.21,0.0862
5,0.9754,16.98,0.0246
6,0.9721,17.28,0.0279
7,0.9785,17.55,0.0215
8,0.9757,17.63,0.0243
9,0.9815,17.41,0.0185
10,0.9681,17.45,0.0319
11,0.9812,17.4,0.0188
12,0.9755,17.19,0.0245
13,0.9753,17.24,0.0247
14,0.9758,17.26,0.0242
15,0.9793,17.5,0.0207
16,0.973,17.75,0.027
17,0.9687,17.55,0.0313
18,0.9691,17.65,0.0309
19,0.9749,17.22,0.0251
20,0.9751,17.4,0.0249
21,0.9703,17.4,0.0297
22,0.9701,17.33,0.0299
23,0.9708,17.47,0.0292
24,0.9725,17.5,0.0275
25,0.9753,17.7,0.0247
