batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,106233,157749,101600,162382,1.0
2,0,48514,162397,47632,163279,0.5834
3,0,18184,169918,17075,171027,0.1997
4,0,111027,200621,109312,202336,1.0
5,0,115,12470,18,12567,0.0029
6,0,18086,42636,13390,47332,0.5658
7,0,15209,46230,15158,46281,0.655
8,0,19590,51782,15615,55757,0.5601
9,0,8381,59342,6473,61250,0.2114
10,0,21239,77740,8403,90576,0.1855
11,0,87535,78549,59801,106283,1.0
12,0,50990,78584,48758,80816,1.0
13,0,33545,79080,28774,83851,0.6863
14,0,17914,83463,13225,88152,0.3
15,0,28992,84845,22560,91277,0.4943
16,0,28999,85112,24496,89615,0.5467
17,0,10447,95788,7251,98984,0.1465
18,0,17708,98011,10387,105332,0.1972
19,0,18935,98512,13471,103976,0.2591
20,0,24370,98996,18809,104557,0.3598
21,0,40730,105016,34514,111232,0.6206
22,0,62068,107675,51428,118315,0.8693
23,0,25490,107935,22785,110640,0.4119
24,0,54747,111614,53234,113127,0.9411
25,0,54155,111967,46322,119800,0.7733
26,0,50900,120374,49490,121784,0.8128
27,0,20419,138460,18105,140774,0.2572
28,0,26444,147383,23943,149884,0.3195
29,0,17899,147861,15763,149997,0.2102
30,0,31650,150203,29645,152208,0.3895
31,0,79782,157326,75195,161913,0.9288
32,0,53942,158379,52313,160008,0.6539
33,0,25343,173764,23374,175733,0.266
34,0,73886,224832,69885,228833,0.6108
35,0,3274,20466,986,22754,0.0867
36,0,23097,34197,22630,34664,1.0
37,0,38157,44986,35065,48078,1.0
38,0,3722,46623,3667,46678,0.1571
39,0,23368,51390,20758,54000,0.7688
40,0,51346,58948,49946,60348,1.0
41,0,43765,71632,43202,72195,1.0
42,0,55578,72110,54121,73567,1.0
43,0,24144,74298,22530,75912,0.5936
44,0,16537,79454,14005,81986,0.3416
45,0,26074,83563,25706,83931,0.6126
46,0,18133,87678,17131,88680,0.3864
47,0,26575,89503,26470,89608,0.5908
48,0,61774,91161,61602,91333,1.0
49,0,39185,98447,36335,101297,0.7174
50,0,41828,104055,38578,107305,0.719
51,0,83064,113630,79405,117289,1.0
52,0,10261,118171,10156,118276,0.1717
53,0,9625,125934,8086,127473,0.1269
54,0,93940,130763,90014,134689,1.0
55,0,33618,140799,31432,142985,0.4397
56,0,46468,146440,45492,147416,0.6172
57,0,48035,153071,45155,155951,0.5791
58,0,21646,157089,21256,157479,0.27
59,0,24565,157414,24385,157594,0.3095
60,0,16017,161243,15782,161478,0.1955
61,0,101316,168343,99851,169808,1.0
62,0,97127,173462,94816,175773,1.0
63,0,134539,186129,132207,188461,1.0
64,0,99355,192199,97530,194024,1.0
65,0,33014,216245,32798,216461,0.303
66,0,83252,220576,70123,233705,0.6001
67,0,84623,237250,84046,237827,0.7068
