Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,KH,0,64,154016352,122661485,1.2556211267130837
-1,KH,0,64,154016352,122130302,1.2610822169259845
-1,KH,0,64,154016352,122024848,1.2621720454837198
-1,KH,0,64,154016352,121989068,1.262542246818379
-1,KH,0,64,154016352,122040285,1.2620123920556232
-1,KH,0,64,154016352,122062681,1.2617808386496114
-1,KH,0,64,154016352,122201164,1.2603509406833473
-1,KH,0,64,154016352,122086000,1.261539832577036
-1,KH,0,64,154016352,122047967,1.261932957883682
-1,KH,0,64,154016352,122128063,1.261105336617023
-1,KH,0,64,154016352,122025913,1.2621610296822774
-1,KH,0,64,154016352,121963229,1.2628097276761998
-1,KH,0,64,154016352,121933519,1.2631174205675144
-1,KH,0,64,154016352,122090191,1.2614965275957346
-1,KH,0,64,154016352,122119423,1.2611945603444261
-1,KH,0,64,154016352,121921411,1.2632428605997679
-1,KH,0,64,154016352,122116823,1.2612214125485397
-1,KH,0,64,154016352,122093870,1.2614585154848479
-1,KH,0,64,154016352,122001350,1.2624151454061778
-1,KH,0,64,154016352,122062450,1.261783226536908
-1,KH,0,64,154016352,122007753,1.2623488935166276
-1,KH,0,64,154016352,121993838,1.2624928809928908
-1,KH,0,64,154016352,121971529,1.2627237951571468
-1,KH,0,64,154016352,122096472,1.2614316325208808
-1,KH,0,64,154016352,122067163,1.261734509222599
