Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,KH,64,154016352,49286794,3.124900959074385
2,KH,64,154016352,48974080,3.1448544170925734
3,KH,64,154016352,48934878,3.1473737787031464
4,KH,64,154016352,48872021,3.1514217789946497
5,KH,64,154016352,48934336,3.1474086075867853
6,KH,64,154016352,48971832,3.144998745951849
7,KH,64,154016352,48940783,3.14699400887726
8,KH,64,154016352,49043244,3.140419318631923
9,KH,64,154016352,49025231,3.1415731562522633
10,KH,64,154016352,49040973,3.1405647447512313
11,KH,64,154016352,48975114,3.1447879755803676
12,KH,64,154016352,48943437,3.1468233489472914
13,KH,64,154016352,48958807,3.1458354401185
14,KH,64,154016352,48995144,3.1435023627649215
15,KH,64,154016352,49020816,3.1418560982072363
16,KH,64,154016352,48957374,3.145927548966153
17,KH,64,154016352,48908853,3.1490485044441074
18,KH,64,154016352,48975010,3.1447946696542792
19,KH,64,154016352,48972728,3.144941187601697
20,KH,64,154016352,48966853,3.145318509946175
21,KH,64,154016352,48940429,3.147016787676444
22,KH,64,154016352,48956432,3.1459880528206154
23,KH,64,154016352,48970319,3.145095916510458
24,KH,64,154016352,48963085,3.145560561103481
25,KH,64,154016352,48970186,3.145104484117141
