Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SH,-,154016352,150856146,1.0209484690550306
2,SH,-,154016352,152153251,1.012244891247742
3,SH,-,154016352,156229953,0.9858311317900132
4,SH,-,154016352,153880762,1.000881130451933
5,SH,-,154016352,155127693,0.992835954719212
6,SH,-,154016352,154994841,0.9936869527058139
7,SH,-,154016352,154782961,0.9950471950543488
8,SH,-,154016352,151646529,1.0156272787297302
9,SH,-,154016352,152213273,1.011845738586688
10,SH,-,154016352,148441390,1.0375566484475727
11,SH,-,154016352,148470055,1.0373563278482396
12,SH,-,154016352,151227975,1.018438229231359
13,SH,-,154016352,150364576,1.024286145612806
14,SH,-,154016352,150995421,1.0200067692444876
15,SH,-,154016352,150644477,1.0223829939918632
16,SH,-,154016352,151537504,1.0163579812728172
17,SH,-,154016352,149622803,1.0293641648860803
18,SH,-,154016352,149869865,1.0276672442673638
19,SH,-,154016352,148182577,1.0393688256617295
20,SH,-,154016352,151711143,1.0151947200603935
21,SH,-,154016352,151419373,1.0171509011748667
22,SH,-,154016352,150788525,1.0214063142890484
23,SH,-,154016352,152831556,1.0077522994572987
24,SH,-,154016352,122240513,1.2599452276369003
25,SH,-,154016352,124319986,1.2388704046830665
