batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,244186,157749,154989,246946,1.0
2,0,261723,162397,159599,264521,1.0
3,0,107533,169918,80182,197269,0.8129
4,0,298438,200621,194973,304086,1.0
5,0,3824,12470,3471,12823,0.5414
6,0,55483,42636,37643,60476,1.0
7,0,57014,46230,44624,58620,1.0
8,0,103042,51782,51047,103777,0.9838
9,0,78895,59342,51867,86370,1.0
10,0,157813,77740,76618,158935,0.9641
11,0,126187,78549,77406,127330,1.0
12,0,88336,78584,76462,90458,1.0
13,0,93039,79080,66315,105804,1.0
14,0,114523,83463,76417,121569,1.0
15,0,111308,84845,82363,113790,1.0
16,0,113384,85112,84798,113698,1.0
17,0,89089,95788,69441,115436,1.0
18,0,119296,98011,89148,128159,1.0
19,0,191349,98512,96493,193368,0.998
20,0,103363,98996,81602,120757,1.0
21,0,127728,105016,103375,129369,1.0
22,0,163425,107675,106765,164335,1.0
23,0,101286,107935,85943,123278,1.0
24,0,146522,111614,109405,148731,1.0
25,0,150717,111967,109827,152857,1.0
26,0,180442,120374,119646,181170,1.0
27,0,137124,138460,112960,162624,1.0
28,0,142690,147383,115234,174839,1.0
29,0,260782,147861,128121,280522,0.9134
30,0,130362,150203,112593,167972,1.0
31,0,220771,157326,148099,229998,1.0
32,0,179670,158379,144116,193933,1.0
33,0,256750,173764,172255,258259,1.0
34,0,320657,224832,218979,326510,1.0
35,0,14392,20466,10147,24711,0.8213
36,0,65802,34197,34195,65804,1.0
37,0,95193,44986,44518,95661,0.9307
38,0,56628,46623,45746,57505,1.0
39,0,73248,51390,49740,74898,1.0
40,0,112521,58948,58943,112526,1.0
41,0,102429,71632,71457,102604,1.0
42,0,110188,72110,71884,110414,1.0
43,0,100070,74298,72887,101481,1.0
44,0,127844,79454,79244,128054,1.0
45,0,104063,83563,75577,112049,1.0
46,0,116548,87678,84643,119583,1.0
47,0,106967,89503,86741,109729,1.0
48,0,124399,91161,91040,124520,1.0
49,0,131931,98447,92112,138266,1.0
50,0,244439,104055,100958,247536,0.8157
51,0,211222,113630,113533,211319,1.0
52,0,59131,118171,58773,118529,0.9917
53,0,125514,125934,106961,144487,1.0
54,0,191224,130763,127262,194725,1.0
55,0,167371,140799,137280,170890,1.0
56,0,183488,146440,145265,184663,1.0
57,0,217034,153071,152088,218017,1.0
58,0,162827,157089,144115,175801,1.0
59,0,144238,157414,119223,182429,1.0
60,0,137599,161243,124550,174292,1.0
61,0,207144,168343,166659,208828,1.0
62,0,200117,173462,162569,211010,1.0
63,0,223320,186129,180901,228548,1.0
64,0,221136,192199,181706,231629,1.0
65,0,207696,216245,190949,232992,1.0
66,0,316908,220576,220015,317469,1.0
67,0,259944,237250,220994,276200,1.0
