batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,178186,157749,60297,275638,0.4375
2,0,124451,162397,31485,255363,0.2466
3,0,152006,169918,96797,225127,0.8599
4,0,70591,200621,30658,240554,0.2549
5,0,133080,12470,10592,134958,0.157
6,0,201858,42636,26578,217916,0.2439
7,0,134143,46230,32896,147477,0.4461
8,0,200038,51782,26452,225368,0.2347
9,0,131895,59342,32742,158495,0.4132
10,0,269471,77740,44233,302978,0.292
11,0,287235,78549,44893,320891,0.2798
12,0,229255,78584,45688,262151,0.3486
13,0,265027,79080,42799,301308,0.2841
14,0,185887,83463,28382,240968,0.2356
15,0,201201,84845,51104,234942,0.435
16,0,191406,85112,32610,243908,0.2674
17,0,209094,95788,66158,238724,0.5543
18,0,322900,98011,75005,345906,0.4337
19,0,73669,98512,13259,158922,0.1669
20,0,207057,98996,57029,249024,0.458
21,0,219594,105016,76906,247704,0.621
22,0,255763,107675,46537,316901,0.2937
23,0,232589,107935,73887,266637,0.5542
24,0,142433,111614,55933,198114,0.5647
25,0,281428,111967,71281,322114,0.4426
26,0,129759,120374,32405,217728,0.2977
27,0,135698,138460,68696,205462,0.6687
28,0,279477,147383,84497,342363,0.4936
29,0,231392,147861,71060,308193,0.4611
30,0,221667,150203,97040,274830,0.7062
31,0,162343,157326,53242,266427,0.3997
32,0,128327,158379,50006,236700,0.4225
33,0,105484,173764,55146,224102,0.4922
34,0,176890,224832,85657,316065,0.542
35,0,112498,20466,16924,116040,0.2917
36,0,172262,34197,28435,178024,0.3195
37,0,188260,44986,34195,199051,0.3436
38,0,121422,46623,29553,138492,0.4268
39,0,98232,51390,32312,117310,0.5509
40,0,179148,58948,37805,200291,0.3775
41,0,97664,71632,32196,137100,0.4697
42,0,134675,72110,35799,170986,0.4187
43,0,170413,74298,39043,205668,0.3797
44,0,155111,79454,32142,202423,0.3176
45,0,209847,83563,36692,256718,0.2859
46,0,144454,87678,43416,188716,0.4601
47,0,122613,89503,49190,162926,0.6038
48,0,102969,91161,39996,154134,0.519
49,0,140972,98447,46778,192641,0.4856
50,0,253402,104055,34559,322898,0.2141
51,0,113153,113630,37191,189592,0.3923
52,0,183557,118171,53158,248570,0.4277
53,0,218290,125934,72459,271765,0.5332
54,0,149247,130763,48865,231145,0.4228
55,0,122788,140799,50152,213435,0.47
56,0,116069,146440,44376,218133,0.4069
57,0,160337,153071,66019,247389,0.5337
58,0,189812,157089,66539,280362,0.4747
59,0,186800,157414,83202,261012,0.6375
60,0,225281,161243,102828,283696,0.7249
61,0,151230,168343,47191,272382,0.3465
62,0,153100,173462,42376,284186,0.2982
63,0,106614,186129,43353,249390,0.3477
64,0,69926,192199,47433,214692,0.4419
65,0,141106,216245,68784,288567,0.4767
66,0,96027,220576,45219,271384,0.3332
67,0,119723,237250,70765,286208,0.4945
