Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SH,-,154016352,142670928,1.0795216174584739
2,SH,-,154016352,141026346,1.092110486842073
3,SH,-,154016352,148824334,1.0348868849627688
4,SH,-,154016352,149325583,1.0314130261610999
5,SH,-,154016352,135367229,1.1377668928881397
6,SH,-,154016352,139431574,1.104601682809595
7,SH,-,154016352,143620743,1.0723823590028856
8,SH,-,154016352,131194772,1.1739518938116058
9,SH,-,154016352,149482004,1.030333737995876
10,SH,-,154016352,135276770,1.1385277133739127
11,SH,-,154016352,137170536,1.1228092853341176
12,SH,-,154016352,136960609,1.124530271964596
13,SH,-,154016352,138121972,1.1150749525496153
14,SH,-,154016352,141237805,1.0904753935653724
15,SH,-,154016352,138244788,1.1140843273392929
16,SH,-,154016352,138338695,1.1133280666217482
17,SH,-,154016352,143283315,1.0749077872807447
18,SH,-,154016352,140555251,1.095770883745522
19,SH,-,154016352,137160077,1.1228949047356027
20,SH,-,154016352,147265789,1.0458393136585957
21,SH,-,154016352,138890756,1.1089028249760948
22,SH,-,154016352,140171277,1.0987725523523486
23,SH,-,154016352,144035984,1.069290790671131
24,SH,-,154016352,143074185,1.0764789730942028
25,SH,-,154016352,140193340,1.098599633860394
