Round,EncodingMode,UsedSparsity,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
-1,SKH,0.6,32,154016352,45828118,3.3607391814921046
-1,SKH,0.6,32,154016352,45637879,3.3747482371729896
-1,SKH,0.6,32,154016352,45602871,3.377338902314989
-1,SKH,0.6,32,154016352,45590336,3.378267494065472
-1,SKH,0.6,32,154016352,45548738,3.381352714960715
-1,SKH,0.6,32,154016352,45502369,3.3847985049411116
-1,SKH,0.6,32,154016352,45433373,3.389938717184634
-1,SKH,0.6,32,154016352,45415650,3.391261578668236
-1,SKH,0.6,32,154016352,45376451,3.394191190543464
-1,SKH,0.6,32,154016352,45284094,3.401113615763018
-1,SKH,0.6,32,154016352,45352490,3.395984450637554
-1,SKH,0.6,32,154016352,45324759,3.398062174512088
-1,SKH,0.6,32,154016352,45232378,3.405002306611757
-1,SKH,0.6,32,154016352,45251508,3.403562799691178
-1,SKH,0.6,32,154016352,45215497,3.4062734867365783
-1,SKH,0.6,32,154016352,45286483,3.400934244341579
-1,SKH,0.6,32,154016352,45128498,3.4128401491973985
-1,SKH,0.6,32,154016352,45221223,3.40584218318767
-1,SKH,0.6,32,154016352,45144903,3.411600005497871
-1,SKH,0.6,32,154016352,45209725,3.4067084044430604
-1,SKH,0.6,32,154016352,45132441,3.412542028195934
-1,SKH,0.6,32,154016352,45187680,3.408370390548287
-1,SKH,0.6,32,154016352,45171360,3.4096018059770343
-1,SKH,0.6,32,154016352,45066245,3.4175545688286424
-1,SKH,0.6,32,154016352,45169672,3.4097292162278166
