batch,sample,foreground_pred,foreground_label,intersection,union,dice
1,0,171818,157749,149780,179787,1.0
2,0,191442,162397,159788,194051,1.0
3,0,170288,169918,141354,198852,1.0
4,0,245307,200621,198057,247871,1.0
5,0,13657,12470,11525,14602,1.0
6,0,47817,42636,41223,49230,1.0
7,0,51612,46230,45228,52614,1.0
8,0,64069,51782,51537,64314,1.0
9,0,93687,59342,58833,94196,1.0
10,0,292916,77740,77218,293438,0.5263
11,0,89640,78549,77080,91109,1.0
12,0,80792,78584,75430,83946,1.0
13,0,96581,79080,72346,103315,1.0
14,0,101344,83463,82806,102001,1.0
15,0,96174,84845,83339,97680,1.0
16,0,97091,85112,84296,97907,1.0
17,0,102537,95788,80609,117716,1.0
18,0,109936,98011,94221,113726,1.0
19,0,295994,98512,98477,296029,0.6653
20,0,108262,98996,96351,110907,1.0
21,0,121932,105016,104504,122444,1.0
22,0,125928,107675,106960,126643,1.0
23,0,123300,107935,106268,124967,1.0
24,0,131060,111614,111357,131317,1.0
25,0,132538,111967,111575,132930,1.0
26,0,140091,120374,118456,142009,1.0
27,0,168810,138460,136646,170624,1.0
28,0,155512,147383,134687,168208,1.0
29,0,437156,147861,144352,440665,0.6552
30,0,172132,150203,136075,186260,1.0
31,0,172564,157326,150030,179860,1.0
32,0,175526,158379,156061,177844,1.0
33,0,276734,173764,173367,277131,1.0
34,0,379531,224832,223182,381181,1.0
35,0,27239,20466,19845,27860,1.0
36,0,39789,34197,33988,39998,1.0
37,0,51786,44986,43315,53457,1.0
38,0,53914,46623,46565,53972,1.0
39,0,57564,51390,49680,59274,1.0
40,0,69326,58948,58868,69406,1.0
41,0,80221,71632,71455,80398,1.0
42,0,84793,72110,71898,85005,1.0
43,0,87023,74298,73395,87926,1.0
44,0,86710,79454,78291,87873,1.0
45,0,92285,83563,80910,94938,1.0
46,0,100850,87678,86714,101814,1.0
47,0,103284,89503,89107,103680,1.0
48,0,99166,91161,90959,99368,1.0
49,0,108875,98447,97167,110155,1.0
50,0,366643,104055,100617,370081,0.5438
51,0,156201,113630,113449,156382,1.0
52,0,118264,118171,112262,124173,1.0
53,0,145699,125934,119993,151640,1.0
54,0,143946,130763,128013,146696,1.0
55,0,158193,140799,139660,159332,1.0
56,0,153930,146440,143782,156588,1.0
57,0,184251,153071,152666,184656,1.0
58,0,177040,157089,156222,177907,1.0
59,0,174096,157414,152804,178706,1.0
60,0,177009,161243,159541,178711,1.0
61,0,182495,168343,165913,184925,1.0
62,0,185706,173462,169067,190101,1.0
63,0,207496,186129,183586,210039,1.0
64,0,223264,192199,191304,224159,1.0
65,0,221640,216245,207782,230103,1.0
66,0,295439,220576,220242,295773,1.0
67,0,255216,237250,231801,260665,1.0
