Round,EncodingMode,UsedClusters,BaselineBits,CompressedBits,CompressionRatio
1,SKH,32,154016352,45813293,3.3618266924335565
2,SKH,32,154016352,45444222,3.3891294186685426
3,SKH,32,154016352,45474819,3.386849086814354
4,SKH,32,154016352,45426203,3.3904738122605056
5,SKH,32,154016352,45404769,3.39207431458405
6,SKH,32,154016352,45289046,3.400741786740098
7,SKH,32,154016352,45276816,3.4016603290915604
8,SKH,32,154016352,45169573,3.4097366971283365
9,SKH,32,154016352,45187285,3.408400179909766
10,SKH,32,154016352,45153031,3.4109858868984144
11,SKH,32,154016352,44988214,3.423482203236801
12,SKH,32,154016352,44954191,3.426073227077919
13,SKH,32,154016352,44947282,3.4265998709181256
14,SKH,32,154016352,45034103,3.4199937586050164
15,SKH,32,154016352,44939466,3.4271958541141445
16,SKH,32,154016352,45039211,3.419605905004259
17,SKH,32,154016352,44815937,3.4366424172662207
18,SKH,32,154016352,44863600,3.4329913746282386
19,SKH,32,154016352,44864660,3.4329102213296814
20,SKH,32,154016352,44806243,3.437385966091756
21,SKH,32,154016352,44732536,3.4430498364006668
22,SKH,32,154016352,44915066,3.4290576742348993
23,SKH,32,154016352,44781547,3.4392816198724345
24,SKH,32,154016352,44843986,3.434492894867237
25,SKH,32,154016352,44808659,3.437200619665658
