round,dice_wt,time_sec,loss
0,0.1107,20.92,0.8893
1,0.3103,17.41,0.6897
2,0.6496,17.53,0.3504
3,0.96,17.54,0.04
4,0.9658,17.52,0.0342
5,0.9762,17.5,0.0238
6,0.9551,17.44,0.0449
7,0.9607,17.24,0.0393
8,0.9577,17.41,0.0423
9,0.9659,17.17,0.0341
10,0.967,17.07,0.033
11,0.9731,17.3,0.0269
12,0.9796,17.24,0.0204
13,0.9819,17.2,0.0181
14,0.9748,17.33,0.0252
15,0.9763,17.33,0.0237
16,0.9792,17.21,0.0208
17,0.9705,17.04,0.0295
18,0.976,17.26,0.024
19,0.9788,17.35,0.0212
20,0.9697,17.07,0.0303
21,0.9703,17.25,0.0297
22,0.9688,17.21,0.0312
23,0.9706,17.25,0.0294
24,0.9708,17.15,0.0292
25,0.9727,17.23,0.0273
